index,video_id,title,publishedat,channelid,channeltitle,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
166738,Sgi-lz6tUBM,ICH KAUFE EIN PFERD  ALBTRAUM,2022-11-19,UC06uYgf5-wfdLpWH6ZGp9Rg,Hella Gabbert,People & Blogs,2022-11-20,Palomino|Gollum|Shetty|Hella Gabbert|Fail|Turnierpferd|Stallleben|FMA|Stall FMA|Golum|Reiterhof|eigener Hof|Pferdemädchen|Pferd|Reiten|Dressur|Springen,204858,10647,0,1282,https://i.ytimg.com/vi/Sgi-lz6tUBM/default.jpg,false,false
166739,VoZBy5dacKk,DARKO LAZIC x VOYAGE x RASTA  PISMO OFFICIAL VIDEO,2022-11-19,UC4PH8eYaYobiEYxnciJnuvQ,Two Louder TV,Music,2022-11-20,rasta|darko lazic|voyage|pismo|novo|official video|new song|pismo 2022|pismo novo|pismo 2022 pesma|two louder pismo,863210,52378,0,2260,https://i.ytimg.com/vi/VoZBy5dacKk/default.jpg,false,false
166740,xrlvgZZpzBQ,Der Maskenboss  GReeeN Vollversion,2022-11-19,UCNpP_PH0Uj8Ldc7INQ-ih_Q,Bulien Jam,Music,2022-11-20,Bulien Jam|Julien Bam|GReeeN|Green|greeen musikvideo|julien bam musikvideo|songs aus der Bohne|Der Maskenboss|Sido|Akt 3|bohne akt 3|julien bam song|vollversion|sido musikvideo|sido vollversion|maskenboss musikvideo|julien bam greeen|greeen song|sido maske|sido greeen|green sido|julien bam sido|bulien jam song|musikvideo|musik,390744,55862,0,1790,https://i.ytimg.com/vi/xrlvgZZpzBQ/default.jpg,false,false
166741,rb0bjyt1OD0,Tukoh Taka  Official FIFA Fan Festival Anthem  Nicki Minaj Maluma  Myriam Fares FIFA Sound,2022-11-18,UCpcTrCXblq78GZrTUTLWeBw,FIFA,Sports,2022-11-20,Nicki Minaj|Nicki|Minaj|Maluma|Myriam Fares|Myriam|Fares|Music|FIFA World Cup|Music Video|World Cup Song|World Cup Music|World Cup Music Video|musica|world cup|world cup theme tune|world cup theme song|world cup song|qatar world cup theme song|Football|FIFA|official|Soccer|Futbol|Futebol|Fußball|Fussball|Calcio|Voetbal|كرة فوتبول|गल|वरलड कप|सकलस|फटबल|Gol|Piala Dunia|Mendribel Bola|Keterampilan|ไดประต|ชงแชมปโลก|ฟตบอล|ทกษะ|officialsoundtrack|soundtrack,8867101,247460,0,42294,https://i.ytimg.com/vi/rb0bjyt1OD0/default.jpg,false,false
166742,MaYdgxXmM4s,Wenn freie Entfaltung auf gefährliche Weltanschauung trifft Waldorfschulen  ZDF Magazin Royale,2022-11-18,UCNNEMxGKV1LsKZRt4vaIbvw,ZDF MAGAZIN ROYALE,Entertainment,2022-11-20,Jan Böhmermann|Neo Magazin Royale|neo magazin|zdf|zdf magazin|zdf magazin royale|waldorfschule|waldorfpädagogik|schulsystem|schulsystem deutschland|bildungspolitik,907162,30239,0,2862,https://i.ytimg.com/vi/MaYdgxXmM4s/default.jpg,false,false
166743,NV2-pGwm8Sg,Lippes Leselust  Staffel 3  Folge 1 Jürgen von der Lippe und Torsten Sträter,2022-11-18,UCBZXnHidY0rYhDprCBXNo9A,Jürgen von der Lippe,Comedy,2022-11-20,Jürgen|von|der|lippe|torsten sträter|lesung,187330,5001,0,249,https://i.ytimg.com/vi/NV2-pGwm8Sg/default.jpg,false,false
166744,C5QdL953iII,Dieses erstaunliche Rezept meiner Freundin aus Amerika Ich kann jeden Tag kochen Sehr lecker,2022-11-14,UCOaIBTo1-yp31gJbOezVbKg,Herzhaft und lecker,People & Blogs,2022-11-20,Herzhaft und lecker|Herzhaft und lecker Abendessen|asmr cooking|kochen|essen|herzhaft|kochrezept|asmr|rezept|rezepte|asmr eating|wie man kocht|ytccon|einfach und köstlich|kreatives rezept|Abendessen|köstliches abendessenrezept|einfaches pasta rezept|cooking|hühnchen|hähnchenschenkel|billiges rezept|chicken recipes|recipe|recipes|chicken|chicken thighs|how to make|chicken thigh recipes|hühnchen rezepte|dinner,189757,1906,0,79,https://i.ytimg.com/vi/C5QdL953iII/default.jpg,false,false
166745,7g1j1QzUNmI,7 vs Wild Panama  Die erste Nacht  Folge 4,2022-11-16,UCSyAFJ6cmgYabA0RfPCNuzA,Fritz Meinecke,Travel & Events,2022-11-20,7 vs wild panama|7 vs wild panama nacht|7 vs wild staffel 2|7 vs wild 4|7 vs Wild Panama  Die erste Nacht | Folge 4,7126374,333724,0,16460,https://i.ytimg.com/vi/7g1j1QzUNmI/default.jpg,false,false
166746,gae0xkdia44,Lohnt sich das McDonalds Monopoly Gewinnspiel 2022 Experiment,2022-11-19,UCc1mI4jmjd7jE4nG9EzCCYg,SELTIX,Entertainment,2022-11-20,Lohnt sich das McDonalds Monopoly Gewinnspiel 2022 Experiment|seltix|mcdonalds|monopoly|monopoly 2022|gewinnspiel|gewinnspiele|shirin david|mcdonalds 2022,142655,12712,0,384,https://i.ytimg.com/vi/gae0xkdia44/default.jpg,false,false
166747,vGvFTHOavhc,Korruption Homophobie Ausbeutung Endlich startet die WM in Katar  heuteshow vom 18112022,2022-11-18,UCFqcNI0NaAA21NS9W3ExCRg,ZDF heuteshow,Comedy,2022-11-20,heute show|ZDF|heuteshow|2022|ganze sendung|oliver welke|katar|doha|wm|fifa|dfb|fußballsfans|bahn|homophobie|gisa flake|stadion|dennis knossalla|korruption|bestechung|fc bayern|weltmeisterschaft|fußball,829027,19509,0,1920,https://i.ytimg.com/vi/vGvFTHOavhc/default.jpg,false,false
