trending_no,video_id,title,publishedat,channelid,channeltitle,categoryid,trending_date,tags,view_count,likes,comment_count
0,-rfCz0u7e4c,ملخص مباراة البرتغال والأوروغواي  البرتغال تهزم أوروغواي وتبلغ ثمن النهائي,2022-11-28,UCJUCcJUeh0Cz2xyKwkw5Q1w,bein sports,Sports,22.29.11,البرتغالالأوروغوايكأس العالمأهداف البرتغالرونالدوبرونوملخص مباراة البرتغالportugalgoalsbeinبي ان سبورت,1897645,42589,1098
3,h_4sNd8tblY,ملخص مباراة كوريا الجنوبية وغانا  غانا تتجاوز عقبة كوريا الجنوبية باقتدار,2022-11-28,UCJUCcJUeh0Cz2xyKwkw5Q1w,bein sports,Sports,22.29.11,none,1647920,30813,1688
7,QKL7UmvZ7Ms,كبرت عيلتنا  اخيرا اتقدم لها,2022-11-28,UCGsO2WD0ub_IIgnazwZ-AnA,ziad  sara زياد و سارة,People & Blogs,22.29.11,ziad sarasara ziadsaraziadزياد و سارةسارةسارهزيادزياد ابو شعرسارة ملصدبيالاماراتالسعوديةجدةقطرالرياضخطبخاطبعرساتقدم لهافراساتزوجاخيرا اتقدم لها,471342,36573,1104
1,883Z-RvsAGo,عزومة نص الليلصحيتهم وفاجئتهم بالمحمر والمشمرصنعنا الفرحة,2022-11-28,UCUrPw917GvHIlxFQfhouqnw,يوميات ام زياد,Entertainment,22.29.11,none,254989,29740,449
5,55XJ1ObZKaM,billie eilish same interview the sixth year  vanity fair,2022-11-28,UCIsbLox_y9dCIMLd8tdC6qg,vanity fair,Entertainment,22.29.11,billiebillie 6billie eilishbillie eilish 2022billie eilish 6billie eilish interviewbillie eilish same interviewbillie eilish sixth yearbillie eilish trailerbillie eilish vanity fairbillie eilish vanity fair interviewbillie eilish year 6billie interviewbillie same interviewbillie trailerbillie vanity faireilishsame interviewtime capsulevanity fairvanity fair billievanity fair billie eilishyear 6year six,2825359,242798,10249
8,tPc8nEQu46o,اجمل يوم بحياتي في بغداد من قطر,2022-11-28,UChOPyo-uWLVi5uO53mSBX-w,noor stars,Entertainment,22.29.11,قصص نور ستارزnoorstarsnoorstars21نورستارزnor starنور استارزnour starقناة نور ستارزنور ستارز لو خيروكnoor starنورنور ستارnoor starsنور ستارزستارزستارلو خيروك نور ستارزنور ستارز مقلبلو خيروكنور ستارز قصصnoorstars21 لو خيروكnoorstars21 مقلبnoor stars لو خيروكbanen starsبنين ستارزبنين ونورنور وبنيننور وبنين ستارزqamarqatar dohasaudi arabiaqatarقطرالسعوديةالدوحةقمرابوفله,388067,35851,1558
6,zJfkunQFVDw,portugal beat uruguay 20 in fifa world cup  goal highlights,2022-11-29,UC83jt4dlz1Gjl58fzQrrKZg,cna,News & Politics,22.29.11,cnachannel newsasia,3036760,27422,1105
2,VStzyJ44Lt4,ليه قطر هتفكك الملاعب بعد انتهاء كاس العالم,2022-11-28,UCe1m3ZH68Q8314yqulWHTcw,عشوائيات,Education,22.29.11,عمرو عابدينحقائقغرائبفضاءطبيعةبريةتكنولوجيعلوم,249589,15061,481
10,93KmHm4ggPo,الكورة مع السلامة  الحلقة الأولى  البرازيل,2022-11-26,UCqW7G8SmyeEeQYzLOk5tdSg,da7ee7  الدحيح,Science & Technology,22.29.11,الدحيححلقة الدحيحبرنامج الدحيح الجديدبرنامج الدحيحdaheeheldahihelda7ee7eldaheehدحيحالدحيح da7ee7احمد غندور الدحيحdaheeh الدحيحكأس العالمقطرfifa world cup 2022البرازيلفيديوهات كأس العالمفيديوهات كأس العلم 2022,868602,84443,2718
18,qyAiaSApdWQ,برعاية السيد رئيس الجمهورية تحتفل جمعية رسالة بيوم التحدي في الجمعة 2 ديسمبر,2022-11-23,UCxVI2zPoiJIja40NmG4PCDw,resala charity organization,29,22.29.11,مبادرة يوم التحديذوي الاحتياجات الخاصةيوم التحديأغنية يوم التحديجمعية رسالةرسالةوزارة التضامن الاجتماعيأول جمعة من ديسمبرresala charityresalaوزيرة التضامن الاجتماعيذوي الهممالسيسيمصرالحدائق العامةمبادرة جمعية رسالةإعلان جمعية رسالةإعلان رسالةنانسي عجرمبيج راميراغب علامةتامر حسنيغادة عبد الرازقالتحالف الوطني للعمل الاهلي التنمويالعمل الأهلي في مصرجمعية خيريةالجمعيات الخيرية في مصرجمعية رسالة للأعمال الخيريةاتبرع,2198150,429,45
