trending_no,video_id,title,publishedat,channelid,channeltitle,categoryid,trending_date,tags,view_count,likes,comment_count
0,_Ijn2Jdy9jc,portugal vs uruguay  highlights fifa world cup qatar 2022,2022-11-28,UC_vsErcsq56hOscPHkG-aVw,sctv,Sports,22.29.11,sctvindonesiamoviessinetron sctvfifa world cupworld cuppiala dunia 2022world cup qatarpiala dunia qatarfifa world cup qatar 2022portugaluruguayportugal vs uruguay full matchportugal vs uruguay highlights 2022,2009934,16968,1586
3,kH8pj92ND2g,brazil vs switzerland  highlights fifa world cup qatar 2022,2022-11-28,UC_vsErcsq56hOscPHkG-aVw,sctv,Sports,22.29.11,sctvindonesiamoviessinetron sctvverticalentertainmentgenresportsformathighlightsourcesportstypebroadcastseriesworld cup qatar 2022topicsepak bolapersonbrazilpersonswitzerlandfifa world cupworld cuppiala dunia 2022world cup qatarpiala dunia qatarfifa world cup qatar 2022brazil vs switzerland 2022brazil vs switzerland 2022 world cup,1387316,9626,622
12,Q4_PDzggWyo,korea republic vs ghana  highlights fifa world cup qatar 2022,2022-11-28,UC_vsErcsq56hOscPHkG-aVw,sctv,Sports,22.29.11,sctvindonesiamoviessinetron sctvverticalentertainmentgenresportsformathighlightsourcesportstypebroadcastseriesworld cup qatar 2022topicsepak bolapersonkore republicpersonghanafifa world cupworld cuppiala dunia 2022world cup qatarpiala dunia qatarfifa world cup qatar 2022korea vs ghanakorea vs ghana world cup 2022,611034,4620,794
13,KeLQGr1d-VQ,si pembohong handal perfect lie,2022-11-29,UCoIiiHof6BJ85PLuLkuxuhw,windah basudara,Gaming,22.29.11,granny gamegrannys housegranny sewer escapegranny sewer escape speedrungranny sewer cellgranny sewer updategranny 2 sewer escapemencoba kabur dari selokan granny sewer update,281150,13869,890
14,QYaYEkwodtM,ritual yang tidak biasa di gunung sanggabuana langit kelabu 14,2022-11-28,UCnrlTmgYcvQLa-m02kLf8gQ,dzawin nur,Gaming,22.29.11,none,316990,13323,2632
1,xcZYzNBwt30,prediksi manggung di soundrenaline pengalaman yang seru banget,2022-11-28,UC6SPCnTAIanF2_8ST2wrQzw,taulany tv,People & Blogs,22.29.11,none,1154764,52288,3920
4,vNBmlhokzhw,dilan cepmek x milea cino 2022 kirain bakal so sweet ternyata,2022-11-28,UCbyFs66Ca-rODgHdPOYNlCg,catheez,People & Blogs,22.29.11,none,393719,13141,1787
15,wE2BifGPA4E,happy asmara feat dike sabrina  duo mahokk  care bebek ftbintang fortuna  official music video,2022-11-27,UCEdO8A1SpMMF47LuGGV1nMQ,muara bintang,People & Blogs,22.29.11,terpopulermusikberitaterkinikeroncongcampursarithebastmusikrajawali mitraofficial videotrendingcampursari koploayu ting tingnella kharismaperdana recorddd starmelady recordnew aristasafari recordkhatulistiwa recordsandi recordadellaadelanew pallapanew palapavia valenaneka safari recorddenny caknanhappy asmara musichappy asmaradikesabrinadike sabrinacare bebeklagu balijegeg bulan,376684,8435,936
7,nwm7QOKJZTw,qna kita,2022-11-28,UCXL90_ZHbh-EEwkyV_Tfp2A,sarah viloid,Entertainment,22.29.11,sarah viloidsarahviloidsarah viloid gamingcewek gamersgamers indonesiagamers cewekgame playstore trendinggame trendingteguh suwandi,223516,12696,607
9,mw09ENVWFFI,cipung ilang diantara tumpukkan kadonagita terharu cipung dapet kado dari ncus,2022-11-28,UCvA9_f5Lwk-poMynabtrZPg,rans entertainment,Entertainment,22.29.11,ransraffi ahmadnagitanagita slavinarafatharransfathardaily vlog ransvlog raffi ahmadnagita slavina fashionfashion nagita slavinafashion raffi ahmadupdate raffi ahmadupdate ransrans terkinimerry raffi ahmadlala rafatharrieta ameliasyahnaznisya ahmadsultan andaradiva andaramemsyepepsyerifithirvlog terbaru ransransraffinagitaanimasisi aakartun si aarans animasirans animation studios,1202949,45525,1141
10,_Da15_d9Hy4,panggung terbakar super enerjik afan jakarta ft hannah precillas filipina judi  dacademy 5,2022-11-28,UCYqOeAXJm8yV9sJ8Ud3cR7A,indosiar,Entertainment,22.29.11,indosiarverticalentertainmentgenreetcformathighlighttypebroadcastseriesdacademy 5topicdangdutpersondewi persikpersonjenita janetpersonsoimahpersonnassarpersongilang dirgapersonruben onsupersonnitha thaliapersonrarapersonafan,523771,15278,5806
44,XTt8eTTT1Ck,livery pink gt86k24 dipo  first drift pws langsung jebol,2022-11-25,UCmA-OmY_ZW7VZkET-64Psdg,garasi drift,Autos & Vehicles,22.29.11,none,533165,18081,1219
24,DFyOhiLbiOY,ending baru lewat selokan  granny sewer new update indonesia,2022-11-28,UC3J4Q1grz46bdJ7NJLd4DGw,miawaug,Gaming,22.29.11,miawauggrannyslendrinagranny gamegranny barugranny horror gamegameiosandroiddownloadgameplayindonesiamalaysiamobile gamenewbarugame grannygranny miawaugmiawaug grannyendendinggood endgood endingbad endingnewnew endingsewerselokanlaba labaspider,823523,47104,4017
30,-r_jdY-MKvk,makan di hotel bintang 5 all you can eat rp 300 ribu ft jessica jane,2022-11-27,UC1Gmqqs_Myzl2KHIeqfUC9A,nihongo mantappu,People & Blogs,22.29.11,nihongo mantappunihongomantappumantappu jiwajerome polinjeromepolinjepangjapanjessica jerome makanjessica jane jeromemakan malam bareng jessica janejerome jalan bareng jessicajerome makan bareng jessica janemukbang bareng jessicamukbang jerome jessicastreetfoodstreetfood jessica janestreetfood viralmukbangmukbang jessica janenihongo mantappu jessica janesurprise jessica janejessica janehotel bintang 5mukbang di hotelmakan di hotel,1715238,92414,5180
23,GYAuQp96lcA,perdana karya terbaik trio ave afan da5valen da5eby da5 cukup sudah bersamamu luka,2022-11-28,UCYqOeAXJm8yV9sJ8Ud3cR7A,indosiar,Entertainment,22.29.11,indosiarverticalentertainmentgenreetcformathighlighttypebroadcastseriesdacademy 5topicdangdutpersondewi persikpersonjenita janetpersonsoimahpersonnassarpersongilang dirgapersonruben onsupersonnitha thaliapersonrarapersonmardonpersonafanpersoneby,270391,11792,1820
25,55XJ1ObZKaM,billie eilish same interview the sixth year  vanity fair,2022-11-28,UCIsbLox_y9dCIMLd8tdC6qg,vanity fair,Entertainment,22.29.11,billiebillie 6billie eilishbillie eilish 2022billie eilish 6billie eilish interviewbillie eilish same interviewbillie eilish sixth yearbillie eilish trailerbillie eilish vanity fairbillie eilish vanity fair interviewbillie eilish year 6billie interviewbillie same interviewbillie trailerbillie vanity faireilishsame interviewtime capsulevanity fairvanity fair billievanity fair billie eilishyear 6year six,2815678,242411,10251
26,O1Igb9_8Eh4,kang gobang menangis ketemu kang mus  preman pensiun 7 part 12,2022-11-28,UCzTsWuCdVP_vehWyGwPcS3Q,rcti  layar drama indonesia,Entertainment,22.29.11,sinetronsinetron rctifull episodercti,569838,7059,379
