index,video_id,title,publishedat,channelid,channeltitle,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
166782,DpB98ev6sD0,禁断のテレビ史①日本を支配した電通とテレビ局命がけの超授業オリラジアカデミー,2022-11-19,UCFo4kqllbcQ4nV83WCyraiw,中田敦彦のYouTube大学  NAKATA UNIVERSITY,Entertainment,2022-11-20,中田敦彦|オリエンタルラジオ|オリラジ|RADIOFISH|歴史|世界史|日本史|授業|勉強|受験|教育|自己啓発|講演|エクストリーム授業|経済|ビジネス|文学|現代社会|成功|哲学|教育系|PROGRESS|お金|XENO|経営|YouTube大学|偉人|芸術|日本|東京|JAPAN|TOKYO|心理|人間関係|コミュニケーション|成長|政治|時事|社会|ニュース|健康|テクノロジー|漫画|アニメ|医学|WinWinWiiin|仕事|投資|シンガポール,794138,24978,0,2102,https://i.ytimg.com/vi/DpB98ev6sD0/default.jpg,false,false
166783,wQjjwFoSOE8,禁断のテレビ史②業界騒然の神回失われた30年の真相オリラジアカデミー,2022-11-19,UC25Ah0_XF2lOUwWV9VSfl2g,藤森慎吾のYouTubeチャンネル,Entertainment,2022-11-20,お笑い|オリエンタルラジオ|藤森慎吾|オリラジ,397687,19563,0,1349,https://i.ytimg.com/vi/wQjjwFoSOE8/default.jpg,false,false
166784,x40330dykG0,BreakingDown6 敗者の反省会で朝倉海の爆弾発言続出,2022-11-19,UCNOoaXPDZJ6bzyY9UPej9cA,YUGOチャンネル,Entertainment,2022-11-20,レディオブック|レディオブック ひろゆき|レディオブック みきしぃ|YUGO|ブレイキングダウン|BreakingDown|BreakingDown|朝倉海|BreakingDown6|YUGO|ブレイキングダウン6|YUGO|ブレイキングダウン6|朝倉海|ブレイキングダウン|こめお|ブレイキングダウン|飯田,826525,9445,0,638,https://i.ytimg.com/vi/x40330dykG0/default.jpg,false,false
166785,pDfv16m0egk,にじ遊戯王祭にじさんじ遊戯王マスターデュエル祭 2022 Day1グループリーグ,2022-11-19,UCX7YkU9nEeaoZbkVLVajcMg,にじさんじ,Gaming,2022-11-20,バーチャルライバー|UCX7YkU9nEeaoZbkVLVajcMg|にじさんじ|バーチャルYouTuber|VTuber|YouTuber|ユーチューバー|バーチャルユーチューバー|ライバー|アニメ|anime|nijisanji|ゲーム配信|遊戯王マスターデュエル|遊戯王,774724,12027,0,49,https://i.ytimg.com/vi/pDfv16m0egk/default.jpg,false,false
166786,3LNH6NT0T7E,乃木坂46ここにはないもの,2022-11-19,UCUzpZpX2wRYOk3J8QTFGxDg,乃木坂46 OFFICIAL YouTube CHANNEL,Music,2022-11-20,乃木坂46|乃木坂|ノギザカフォーティーシックス|ここにはないもの,933432,69351,0,5384,https://i.ytimg.com/vi/3LNH6NT0T7E/default.jpg,false,false
166787,f3yCJWSbBew,監督を実力で黙らせる日のモーニングルーティン野球部 寮生活,2022-11-19,UCtBnofpvdI3Fbn6f7QclmYQ,あめんぼぷらす日常コメディ,Sports,2022-11-20,野球部あるある|リアル|ルーティン|routine|モーニングルーティン|高校野球|あめんぼぷらす|あめんぼぷらすぽーつ|アメンボプラス|日常|コメディ|コント|下宿|寮生活|監督|試合|練習試合,737840,19851,0,1613,https://i.ytimg.com/vi/f3yCJWSbBew/default.jpg,false,false
166788,EGqdYgxyuk8,穴が空いた茎の中に潜んでいるのは,2022-11-19,UCypYz0HzH-2oL7mdP-JK2yQ,おろちんゆー,Entertainment,2022-11-20,生き物|料理,521413,16910,0,2196,https://i.ytimg.com/vi/EGqdYgxyuk8/default.jpg,false,false
166789,gYqXNzITuQQ,リーリエ100万円の福袋の中身がヤバすぎた,2022-11-19,UCj6_0tBpVpmyYSGu6f-uKqw,テオくんホーム,Entertainment,2022-11-20,テオくん,252299,5993,0,1109,https://i.ytimg.com/vi/gYqXNzITuQQ/default.jpg,false,false
166790,lI21dMca3kU,映画THE FIRST SLAM DUNKCM15秒　試合開始まであと14日2022123 公開,2022-11-18,UCLhgIX2L5ZCaWdlaxR_oTAg,東映アニメーション公式YouTubeチャンネル,Film & Animation,2022-11-20,None,898623,2484,0,990,https://i.ytimg.com/vi/lI21dMca3kU/default.jpg,false,false
166791,yBKCAjc0qko,夜にじさんじライバーの嫌いな食べ物だけで１日過ごしますVS葛葉,2022-11-18,UCD-miitqNY3nyukJ4Fnf4_A,月ノ美兎,Entertainment,2022-11-20,にじさんじ|nijisanji|Vtuber|月ノ美兎|つきのみと|tsukinomito,884515,48760,0,1166,https://i.ytimg.com/vi/yBKCAjc0qko/default.jpg,false,false
166792,VyjI71jdoNI,SPYFAMILYフィオナ役キャスト解禁PV,2022-11-19,UC14Yc2Qv92DMuyNRlHvpo2Q,TOHO animation チャンネル,Film & Animation,2022-11-20,東宝|TOHO|anime|公式|オフィシャル|アニメ|Entertainment|配給|宣伝|キャラクター|声優,461461,0,0,0,https://i.ytimg.com/vi/VyjI71jdoNI/default.jpg,false,true
166793,FcaQ92eAdNw,男女の友情崩壊ある人によって過去の全てが暴かれました青春しゅわしゅわクラブ,2022-11-19,UC1fYrot9lgMstv7vX0BnjnQ,かす,Entertainment,2022-11-20,None,496842,16360,0,350,https://i.ytimg.com/vi/FcaQ92eAdNw/default.jpg,false,false
166794,O4AgKuDbdd8,飯田さんと浅草で食べ呑み歩き,2022-11-19,UCkoMwk-b63Rr8jNUXg2TfCw,後藤祐樹おっととっとちゃんねる公式,Entertainment,2022-11-20,後藤祐樹|ゴマキ|ゴマキの弟|朝倉未来|ブレイキングダウン|夫婦|夫婦チャンネル|カップルチャンネル|後藤千鶴|後藤真希|モーニング娘|eejump,205335,4146,0,413,https://i.ytimg.com/vi/O4AgKuDbdd8/default.jpg,false,false
166795,3zSfc4P8Wqg,学園祭ピアノドッキリ合唱部の幽霊部員が実はプロだったら廃部の危機を救えるんか byよみぃ銀河鉄道999ベテルギウスCITRUSetc,2022-11-19,UCZ3h7IyAMbrVgvmxTdj-rpA,よみぃ,Music,2022-11-20,ストリートピアノ|よみぃ|鬼滅の刃|ピアノ|弾いてみた|紅白|面白い|太鼓の達人|神動画|おもしろ|TikTok,284631,10774,0,266,https://i.ytimg.com/vi/3zSfc4P8Wqg/default.jpg,false,false
