index,video_id,title,publishedat,channelid,channeltitle,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
166599,-z0iGw4FY5U,Pidiendo Hallowen por primera vez  Jukilop  Kimberly Loaiza,2022-11-18,UCQZfFRohQ7UX-0CdXl-6pwQ,Kimberly Loaiza,People & Blogs,2022-11-20,team|juki|jukilop|teamjukilop|juan|de|dios|pantoja|reto|challenge|diversión|entretenimiento|vlog|blogs|nuevo|video|vlogs|blog|lindura|linduras|kimberly|loaiza|risas|musica,4337169,306938,0,10322,https://i.ytimg.com/vi/-z0iGw4FY5U/default.jpg,false,false
166600,DPlSyw0AWiA,Abril Mancilla ft Jr Lopez  La Cruz del Recuerdo Video Oficial Eirian Music,2022-11-19,UCVSkuT2_UFzrDPzN0M3a83w,Eirian Music,Music,2022-11-20,eirian music|mcdavo|mc davo|rap mexico|rap en español|rap 2022|rap mexicano|regional rap|kodigo 36|went|abril mancilla|jr lopez,180402,19497,0,2561,https://i.ytimg.com/vi/DPlSyw0AWiA/default.jpg,false,false
166601,S5TtMHwtfN8,LE FALTO el RESPETO a BARBIE y DONATO ME TERMINA GOLPEANDO termina muy mal,2022-11-19,UCXH1p4gixwXwrUGSx-WvLNQ,Yair17,Gaming,2022-11-20,Yair17,366944,34019,0,792,https://i.ytimg.com/vi/S5TtMHwtfN8/default.jpg,false,false
166602,rb0bjyt1OD0,Tukoh Taka  Official FIFA Fan Festival Anthem  Nicki Minaj Maluma  Myriam Fares FIFA Sound,2022-11-18,UCpcTrCXblq78GZrTUTLWeBw,FIFA,Sports,2022-11-20,Nicki Minaj|Nicki|Minaj|Maluma|Myriam Fares|Myriam|Fares|Music|FIFA World Cup|Music Video|World Cup Song|World Cup Music|World Cup Music Video|musica|world cup|world cup theme tune|world cup theme song|world cup song|qatar world cup theme song|Football|FIFA|official|Soccer|Futbol|Futebol|Fußball|Fussball|Calcio|Voetbal|كرة فوتبول|गल|वरलड कप|सकलस|फटबल|Gol|Piala Dunia|Mendribel Bola|Keterampilan|ไดประต|ชงแชมปโลก|ฟตบอล|ทกษะ|officialsoundtrack|soundtrack,8867101,247470,0,42349,https://i.ytimg.com/vi/rb0bjyt1OD0/default.jpg,false,false
166603,KzDyTNGL1M8,Quién te conoce mejor MADRES vs MEJOR AMIGO  Ducktape,2022-11-14,UCHyigmVPulxOhYPnDt8MXKQ,DuckTape,Entertainment,2022-11-20,Duck Tape|comedia|latino|friends|amigos|trending|viral|animation|Humor|republica dominicana|videos de risa|videos graciosos|reto|novios|ex novios|juegos|retos|challenges|familia|toda la familia|divertido|tiktok|verdad o shot|amistades|mejores amigos,90462,6406,0,119,https://i.ytimg.com/vi/KzDyTNGL1M8/default.jpg,false,false
166604,hUpBApe-JI8,AUNQUE ME DIGAN VENDIDO  FACUNDO,2022-11-18,UCnqUGyxqrN9C4olFFf6XNJw,Facundo,Comedy,2022-11-20,facundo|humor|chistes|videos cortos|humor negro|facundo gomez|facundidades|facundo viajes|Facundo|facundo vacaciones|facundo luisito comunica|facundo y el babo|hija de facundo|hijos facundo|viaje a|qatar|qatar 2022|mundial qatar|mundial|catar|facundo mundial|televisa mundial|facundo televisa,247986,6331,0,408,https://i.ytimg.com/vi/hUpBApe-JI8/default.jpg,false,false
166605,Gzs60iBgd3E,DUKI  BZRP Music Sessions 50,2022-11-16,UCmS75G-98QihSusY7NfCZtw,Bizarrap,Entertainment,2022-11-20,bizarrap|biza|bisa|bizzarrap|bzrp|bzrp music sessions|trap|musica latina|argentina|méxico|españa|hip hop|rap|biza session|reggaeton|music session|USA|Puerto rico|el biza la soltó|el dj|España|tiago|tiago biza|latin music|mala mia|puerto rico|el biza|la 52|quedate|perreamos toda la noche|DUKI || BZRP Music Sessions 50|duko|duki|El milagro de Sandra y de Guille nacido el 24 de junio|24 de junio|bandera argentina|modo diablo|argentina en la casa,23864673,2450180,0,128393,https://i.ytimg.com/vi/Gzs60iBgd3E/default.jpg,false,false
166606,cu3Q1ycGhLI,Lefty SM  Corriendo Peligro,2022-11-19,UCQFmPWnstWJ5LMwRmsK34Vg,LEFTY SM OFICIAL,Music,2022-11-20,alzada|alzada films|casa alzada|familia alzada|los de alzada|rap|trap|raptrap|rap trap|rattrap records|rap trap records|latino|latina|urbana|urbano|músico|hip hop|hiphop|música|los de alzada camarada|volando|ando al millón|lefty mi plebada|mi plebada|lefty sm mi plebada|lefty regional|lefty corridos|corridos|quién no llora|Lefty SM Corriendo Peligro|Corriendo Peligro|Corriendo Peligro Lefty SM,169977,14164,0,454,https://i.ytimg.com/vi/cu3Q1ycGhLI/default.jpg,false,false
166607,VUTCommVuvU,Jaziel Avilez Codiciado Peso Pluma  Ando Enfocado Video Oficial,2022-11-18,UCcKdDdipNwHi8rs2034bpxg,Golden Ink Entertainment,Music,2022-11-20,Golden Ink|jaziel avilez|fuga|l prince|jaziel|aviles,414272,21523,0,446,https://i.ytimg.com/vi/VUTCommVuvU/default.jpg,false,false
166608,VS97e_a1be0,Gloria Trevi  Perfume Lyric Video,2022-11-19,UCYNOJx1S_E9U0MpyTK6vPrg,GloriaTreviVEVO,Music,2022-11-20,Perfume|perfume gloria trevi|gloria trevi perfume|Isla Divina|gloria trevi|abranse perra gloria trevi|gloria trevi alejandra guzman|esa hembra es mala|gloria trevi no querias lastimarme|todos me miran gloria trevi|todos me miran|con los ojos cerrados|no querias lastimarme|pelo suelto|doctor psiquiatra|vestida de azucar|alejandra guzman|me solte el cabello gloria trevi|me siento tan sola gloria trevi|me solte el cabello,157125,7365,0,716,https://i.ytimg.com/vi/VS97e_a1be0/default.jpg,false,false
