trending_no,video_id,title,publishedat,channelid,channeltitle,categoryid,trending_date,tags,view_count,likes,comment_count
4,i0BdNCyqy7s,orang yang paling berbahaya di malaysia the most dangerous man in malaysia,2022-11-29,UCubdVbYFXGAsPSw64dQatuw,mariam mokhtar admrlgen,29,22.29.11,hadi awangpru15agungdapsedition,154149,7996,1454
23,yN_-8FELZ-k,dont try them at home  thatlittlepuff catsofyoutube,2022-11-16,UClFN9LShD_Pv0wnSeUKbUZw,that little puff,Pets & Animals,22.29.11,none,43766147,2207767,2618
0,swAj-k8ng1k,portugal 2  0 uruguay  world cup 2022 highlights  group h  sebolasuara,2022-11-28,UC3nsS1zgb4Jye9kmA45K6Yg,stadium astro,Sports,22.29.11,stadium astrosportsastro,1157552,14632,850
1,tvpVjt97uuU,johor darul tazim 14 borussia dortmund  jelajah asia dortmund  astro arena  sebolasuara,2022-11-28,UCU9GQSAhb4JxdSZKNJ_Ib6w,astro arena,Sports,22.29.11,astroarenasukanmalaysiabolasepakbadmintontakrawharimaumalayanicoldavidsquashastroarenaastro arenasportbola sepakharimau malayasepak takrawstl 2019nadi arenaultras malayabola mamakspikearena bolasepak takraw leaguedari gelanggangjdtselangor fasmalu apa bosskusukan seasea gamesolympicsolimpikbundesligamflliga superstadiumgostanpmamberbulu dengan burnbdbbbbborakborak botakburnbotakarena2801802,186396,2421,1281
26,SHc4ratXTgk,crazy cat,2022-11-29,UCG6NHS34ujpuokyx008jgzQ,パロってるparotter,Gaming,22.29.11,minecraftマインクラフトanimeanimationgameshortstiktokparotteruparotteruanimationfunnyfunnytiktokfunnyvideomemememesmostfunnycompilationfypfypシgamertiktok compilation,674710,38381,247
16,1YmU64DYisU,the dumbbell only 1 person could lift,2022-11-22,UCuJBpMyxlmemsQiivWPcGrQ,browney shorts,People & Blogs,22.29.11,none,10615014,702537,1851
24,wSN4KDzr94Q,kok bisa gini sih bittersweet by najla kuliner makan dessert,2022-11-29,UCz8cz0ylkuBgzGVvmL2Zevg,amritsa raje,People & Blogs,22.29.11,none,761532,56235,156
6,U6tHA3zUSjI,issei funny video  with inosuke shorts,2022-11-22,UC6QZ_ss3i_8qLV_RczPZBkw,issei  いっせい,Comedy,22.29.11,challengefunny videoissei0806shortshortsviral再現面白動画memeisseicomedyissei 0806issei official channelfunny videostredning funny videoviral videostrend,20317973,630507,1443
13,n7SDv8aBlHI,home alone in a rush 2,2022-11-25,UCb8vrqP8Z7Oz9ZTYvUtjUHQ,daniel labelle,Comedy,22.29.11,none,10454663,520680,1779
14,zm_NeRUA_T4,pake ayam juga  itakimo bali,2022-11-20,UCMwoWc6kXCqdOq6qLlH59Lw,itakimo bali,Comedy,22.29.11,lifedietitakimoslimmingteatipsdiethomemadehealthylifestylecomedylolfunnyvideos2022healtyfoodtastylivefunmemeshortstiktokfunnyvideosmemescomedyvideoslmaolaughviral,15631995,486287,484
25,HDRyJyya3dQ,dompet siapa ini  itakimo bali,2022-11-11,UCMwoWc6kXCqdOq6qLlH59Lw,itakimo bali,Comedy,22.29.11,shortsviralitakimoitakimobalivideolucukomedingakakkisahfilmsedihfilmpendukdagelantrending1topviralvideostopshortsshortstrendingshortsfunnyshortscomedyshortsviral2022tutorialshorts,20833763,554174,1492
3,xskmxYaNBaw,ustaz kazim elias tegur dan bagi amaran keras isu anwar ibrahim muhyiddin zahid hamidi pm pn ph bn,2022-11-21,UCht6SyEpw69cNVeBpb_kB1w,durian merah,Entertainment,22.29.11,none,881593,13304,2076
15,baOyJQOkI4o,subway surfers 3 shorts,2022-11-21,UCjaxmdb_gTWbz9XF5rzvgGg,natan por aí,Entertainment,22.29.11,none,8270697,200323,124
18,C5JW5bDGSmQ,nurul izzah kongsi cerita tentang dato seri anwar ibrahim dengan bekpes hot  hotfm,2022-11-25,UCFV_yPFxPbbmrYJ9J6zJglA,hot tv,Entertainment,22.29.11,hotfmhot tvkini lebih muzik yang hangatag azmeerfad boceyfara fauzanarakyat rangersriena dianaimran aqilmedia prima audioparodi,280469,3533,424
