trending_no,video_id,title,publishedat,channelid,channeltitle,categoryid,trending_date,tags,view_count,likes,comment_count
16,8tSh2g1JF3I,golden makes friends with his neighbor on the opposite balcony  the dodo,2022-11-17,UCINb0wqPz-A0dV9nARjJlOQ,the dodo,Pets & Animals,22.29.11,animal videoanimalsthe dodoanimal rescuedodocute animalspetswildlifepet videoswildlife videosanimals the dodothe dodo animalsrescuing animalsshortsshortanimal videoshort,7965842,657578,12609
3,pqNFeoV8RlY,bruno fernandes cross flies past cristiano ronaldos head and into the net vs uruguay,2022-11-28,UCpcTrCXblq78GZrTUTLWeBw,fifa,Sports,22.29.11,none,1320977,58719,1405
11,IwzkfMmNMpM,정국 jung kook of bts featuring fahad al kubaisi  dreamers  fifa world cup 2022 soundtrack,2022-11-22,UCpcTrCXblq78GZrTUTLWeBw,fifa,Sports,22.29.11,kpopjung cookdreamersdreamers kpopdreamer btsjung cook world cupjung cook fifa songjung cook world cup songworld cup song,38919619,3306720,168911
14,P_wqj83h4ZU,match highlights  qatar 02 ecuador  fifa world cup qatar 2022  jiocinema  sports18,2022-11-20,UC8To9CFsZzvPafxMLzS08iA,jiocinema,Sports,22.29.11,qatar vs ecuadorecuador vs qatarqatar vs ecuador 2022ecuadorqatar ecuadorqatar vs ecuador 02qatar vs ecuador liveqatar vs ecuador resumenqatar vs ecuador live streamqatarqatar vs ekuadorqatar vs ecuador en vivoqatar vs ecuador highlightsqatar vs ecuador world cup 2022ecuador vs qatar highlightsecuador qatarqatar x ecuadorqatar vs ecuador hoyqatar 0 ecuador 2ecuador vs catarqatar vs ecuador footballqatar 02 ecuador,2548785,49995,1706
7,1YmU64DYisU,the dumbbell only 1 person could lift,2022-11-22,UCuJBpMyxlmemsQiivWPcGrQ,browney shorts,People & Blogs,22.29.11,none,10615014,702542,1851
17,JOq5ZBcCFAY,we adopted a stray kitten,2022-11-26,UCbAwSkqJ1W_Eg7wr3cp5BUA,safiya nygaard,People & Blogs,22.29.11,safiya adopted a new catsafiya new catsafiya crustysafiya and tyler catsofia catsophia catadopting a new kittenstray kittenferal kittenpetscatskittenstabbycute catbaby cat,1400273,261506,2138
9,5MVoHEHtiJ0,anything for free shipping,2022-11-26,UCRVtlcqayOmyuLIDrT3ng1w,jay  sharon,Comedy,22.29.11,shortscouplegoals,3132221,434729,668
10,979AeF6z5ME,17 types of football fans youll meet during world cup 2022,2022-11-20,UCGwcH4qnJ2qM_ZJUSFcAMAA,jianhao tan,Comedy,22.29.11,jianhao tanjian hao tanjianhaothe jianhao tanthejianhaotanjian haojianhaotankim leesingaporesingaporeanyoutuberyoutubersyoutubejingoworld cupstanleyvincentdenisetitanfootballsoccerfansqatarfunnyrefereeoffsidethaisawasdee rubindianindiacricketbrazilgermanyfrancet1t5dianacree katemajikarbthailandspeedworld cup songjianhao singishowspeedwakka wakka,1412228,37860,4340
0,mCOjKxozVh4,portugal 20 uruguay  group stage  fifa world cup 2022 match highlights,2022-11-28,UCQrvzGHFkNkVBlqqe46kuYQ,entertainment  mediacorp,Entertainment,22.29.11,togglecatchuptvsingaporemediacorpmediacorp channel 5mediacorp channel 8mediacorp suriamediacorp vasanthamchannel news asiaonlinetoggle originalssingapore dramasg dramatoggle it firstchannel8ch8sgchannel 8channel 5channel5mewatch,187173,854,168
1,zb3PwpMBSBc,brazil 10 switzerland  group stage  fifa world cup 2022 match highlights,2022-11-28,UCQrvzGHFkNkVBlqqe46kuYQ,entertainment  mediacorp,Entertainment,22.29.11,togglecatchuptvsingaporemediacorpmediacorp channel 5mediacorp channel 8mediacorp suriamediacorp vasanthamchannel news asiaonlinetoggle originalssingapore dramasg dramatoggle it firstchannel8ch8sgchannel 8channel 5channel5mewatch,124461,599,35
6,FD-0KG-h2-c,gordon ramsay tries most expensive chocolate bar,2022-11-19,UCX6OQ3DkcsbYNE6H8uQQuVA,mrbeast,Entertainment,22.29.11,none,34846802,2921097,10088
12,aNlk-aujf3o,live gegar vaganza 9 live   minggu separuh akhir,2022-11-20,UCfztuMBrL9F-KqLZk_SY9TA,astro gempak,Entertainment,22.29.11,astro gempak,488708,1811,207
2,fRVrsaZnu70,六四後最大民意浪潮 白紙革命中國遍地開花 抗議浪潮蔓延武漢成都 學生上街高舉白紙大喊習近平下台主播 鄧崴大世界新聞20221128三立inews,2022-11-28,UCoNYj9OFHZn3ACmmeRCPwbA,三立inews,News & Politics,22.29.11,三立inews鄭知道了直播新聞直播鄭弘儀政治三立新聞王志郁大世界covid19delta六四白紙革命中國新疆烏魯木齊大火抗議封控民怨武漢成都學生習近平,494041,3918,1384
8,LV-Eg0T6tr0,白紙革命連習近平下台都敢喊 中國15省79大學響應革命成政權破口震撼世界關鍵時刻202211284 劉寶傑 黃世聰 李正皓 林廷輝 吳子嘉english subtitles,2022-11-28,UCKQVSNdzGBJSXaUmS4TOWww,關鍵時刻,News & Politics,22.29.11,關鍵時刻关键时刻台湾關鍵時刻直播関鍵時刻關鍵時刻關鍵時刻2022最新關鍵时刻劉寶傑寶傑劉寶傑東森新聞東森劉寶傑關鍵時刻guanjianshike关键时刻2022东森新闻 关键时刻白紙革命中國重慶超人哥不自由毋寧死清零習近平習近平下台新疆烏魯木齊chinaprotestslockdownrestrictionsxinjiangurumqi甘肅北京留學生外媒bbccnn自由南京大學武漢理工武漢抗議核酸學生南京封控清華大學彭麗媛貴州隔離蘭州廣州解放軍軍警北京大學富士康河南鄭州暴動深圳動態清零供銷社關鍵政論台灣中華民國taiwan名嘴黃世聰李正皓林廷輝吳子嘉白纸革命中国重庆不自由毋宁死清零习近平习近平下台乌鲁木齐甘肃留学生南京大学武汉理工武汉抗议学生清华大学彭丽媛贵州隔离兰州广州解放军军警北京大学郑州暴动动态清零供销社关键刘宝杰宝杰哥东森政论中华民国黄世聪林廷辉吴子嘉,866449,9204,3329
18,BYVZh5kqaFg,egg drop from space,2022-11-25,UCY1kMZp36IQSyNx_9h4mpCg,mark rober,Science & Technology,22.29.11,none,19314042,652162,22927
20,i0BdNCyqy7s,orang yang paling berbahaya di malaysia the most dangerous man in malaysia,2022-11-29,UCubdVbYFXGAsPSw64dQatuw,mariam mokhtar admrlgen,29,22.29.11,hadi awangpru15agungdapsedition,154149,7996,1454
23,aqW4xXUgmno,choreography bts 방탄소년단 달려라 방탄 run bts dance practice,2022-11-13,UCLkAepWjdylmXSltofFvsYQ,bangtantv,Music,22.29.11,방탄소년단btsbangtan알엠rm슈가suga제이홉jhope지민정국kpop방탄jhopejung kookjiminbts vjin,32744629,2602309,97370
29,BcT3GD3076A,周一情侣仙本那之旅我再次跟to夫人求婚vlog240 dodo肚肚,2022-11-28,UCc51iyY6LrMy23mTSKIDPmQ,tomato odd,People & Blogs,22.29.11,tomatooddoddtomatotomatooddsteadysteadygangsteadygameahyahaorenmalaysiayoutubermalaysiayoutubervlogvlogerhustlehustleeverydayhustleverydaysteadyeveryday,91359,2654,99
40,l0GEfOm5uiA,mrbeasts insane 25000 challenge with bradley martyn,2022-11-16,UCOgGwJ2o1mxeS4eVb9_UQaw,full send podcast clips,People & Blogs,22.29.11,podcast clipsthe full send podcastfull sendfullsendpodcastkylekyle forgeardbob menerynelknelkboysnelk boysnelk boys podcaststevewilldoitnew podcast,16955496,1026659,5137
36,FtyN3K5oYQA,did this rapper rip off my song shorts,2022-11-12,UCGt7X90Au6BV8rf49BiM6Dg,ray william johnson,Comedy,22.29.11,balibalmaray william johnsonraywilliamjohnsonyour favorite martianverifiedyoutube shorts,18701810,1491202,4490
38,mEovIhaUoIM,before vs after exams,2022-11-13,UCGwcH4qnJ2qM_ZJUSFcAMAA,jianhao tan,Comedy,22.29.11,jianhao tanjian hao tanjianhaothe jianhao tanthejianhaotanjian haojianhaotankim leesingaporesingaporeanyoutuberyoutubersyoutubetypes of studentsstudentstudentstitanacademybeforeafterduringexamexaminationsexamstestresultsexam resultsmadam soot bengdenisefailpassorganizationren yi xiangah boys to menstupidmr alanregnabad geniuscheatcheatingcheating scenepianopiano scenecricketstudystudyingdebbiebentrevcriesclass t1t5,1692364,44404,6469
22,y-YLCc-huM0,i delivered pizza to famous youtubers,2022-11-27,UCyps-v4WNjWDnYRKmZ4BUGw,airrack,Entertainment,22.29.11,none,1404331,126405,658
24,PMT3UhzDxH4,白鹿周深的生日惊喜变惊吓蔡徐坤 的蔡式速记法有多绝周深姚译添的mbti首次揭露 陈卓璇符龙飞新歌舞台首发奔跑吧共富篇 keeprunning ep3 full 20221118,2022-11-18,UCfj8FsoiPFHn1gZMJaeLEDg,浙江卫视奔跑吧官方频道欢迎订阅,Entertainment,22.29.11,奔跑吧奔跑吧共同富裕奔跑吧10奔跑吧10ep1奔跑吧兄弟10奔跑吧2022奔跑吧2021蔡徐坤周深angelababy郑恺李晨沙溢沙溢蔡徐坤keeprunning10跑男10paonan10benpaoba10奔跑吧第六季running man10奔跑吧兄弟第十季奔跑吧10周深benpaoba奔跑吧特别季奔跑吧路透奔跑吧兄弟白鹿魏大勋陈卓璇张佳宁奔跑吧黄河路透奔跑吧周深奔跑吧蔡徐坤奔跑吧angelababy奔跑吧沙溢奔跑吧白鹿奔跑吧李晨奔跑吧郑恺奔跑吧黄河路透奔跑吧特别季路透奔跑吧开播奔跑吧即将开播奔跑吧预告林一王嘉尔黄旭熙lucassuperm威神vnctyuqigidlegidlegot7孙怡李沁郭麒麟宋祖儿关晓彤鹿晗迪丽热巴迪丽热巴鹿晗姚译添姚译添宋祖儿王嘉尔宋雨琦蔡徐坤白鹿邓紫棋符龙飞音乐舞台生日music檀健次共富陈飞宇阿瑟朱韵罗云熙硬糖少女hi6希林希林娜依高最美中轴线白鹿生日周深生日mbti,922955,8427,487
31,Br1LqVAtdVs,中國白紙革命野火燎原六四後最大抗議事件 全球關注習近平軍隊調度關鍵時刻吳子嘉,2022-11-29,UCKQVSNdzGBJSXaUmS4TOWww,關鍵時刻,News & Politics,22.29.11,關鍵時刻关键时刻白紙革命中國清零抗議習近平習近平下台新疆烏魯木齊共產黨chinaprotestslockdownrestrictionsxinjiangurumqi甘肅北京公安留學生外媒bbccnn自由南京大學武漢理工不要核酸要吃飯不要封控要自由蘭州核酸武漢成都言論自由解放軍廣州疫情南京四通橋超人哥大學生重慶記者逮捕股票失業製造業中國股市華爾街逃出中國人民幣茉莉花革命20大天津關鍵劉寶傑寶傑哥東森ch51關鍵時刻2022guan jian shi keguanjianshike政論台灣中華民國taiwan名嘴黃世聰李正皓林廷輝呂國禎吳子嘉台湾關鍵時刻直播関鍵時刻關鍵時刻關鍵時刻2022最新關鍵时刻寶傑劉寶傑東森新聞劉寶傑關鍵時刻关键时刻2022东森新闻 关键时刻,329911,3001,907
34,StIzloWujOY,反封控抗議後上海警察檢查行人手機要求刪除照片 bbc news 中文,2022-11-29,UCb3TZ4SD_Ys3j4z0-8o6auA,bbc news 中文,News & Politics,22.29.11,bbcbbc chinesebbc中文,496826,5332,4251
21,20BEJouWBgY,the ftx disaster is deeper than you think,2022-11-16,UC4QZ_LsYcvcq7qOsOhpAX4A,coldfusion,Science & Technology,22.29.11,coldfusiontvdagogoaltraidetechnologyapplegooglesamsungfacebooktesla,4498777,143075,23192
120,6qI-va1F5ck,Dreamers Music from the FIFA World Cup Qatar 2022 Official Soundtrack,2022-11-20,UC-pOuHFcndLpyfWSPVqXt_A,Jung Kook  Topic,Music,22.30.11,Jung Kook|FIFA Sound|BTS|Dreamers Music from the FIFA World Cup Qatar 2022 Official Soundtrack,8240861,479348,0
44,ijjGqwdXa1c,its me benjamin  joining the tsantiherochallenge brought to you by youtube shorts,2022-11-11,UCqECaJ8Gagnn7YCbPEzWH6g,taylor swift,Music,22.29.11,none,46412422,2554687,9667
50,hEq3vHsFYBk,bts jungkook  dreamers lyrics fifa world cup 2022 official soundtrack,2022-11-20,UCmth4hMyizG-_W9jidBqs_A,jaeguchi,Music,22.29.11,jaeguchicolor coded lyricslyrics가사노래girlgroupboygroupaudiomvdancetranslationcolor codedline distribution,4893495,259759,8815
48,EPAjd-cIg04,lindy and jlo have the funniest prank fails,2022-11-03,UCx18ywTcohtS9lpNXt8noWQ,omar raja  espn,Sports,22.29.11,none,115238584,6114072,7595
45,ehHMfjVuftg,they teach babies how to swim 362,2022-11-24,UCJsUvAqDzczYv2UpFmu4PcA,nas daily,Travel & Events,22.29.11,nas dailynasmeanspeople1minutetravelnuseir yassinnas studio英語学習peoplenas academylesanioplacescountry,3236308,255302,1672
46,8ihBIZ1M_KI,this show is better than the entire mcu shorts,2022-11-13,UCGt7X90Au6BV8rf49BiM6Dg,ray william johnson,Comedy,22.29.11,ray william johnsonraywilliamjohnsonraywjrwjyoutube shortsnazarindian serial,21300418,1750263,18737
49,41W2u25eRAU,sister controls brothers first date emotional,2022-11-19,UCKaCalz5N5ienIbfPzEbYuA,jordan matter,Entertainment,22.29.11,salish mattersay say matternalishdatedatingcrushcontroling lifesister controls brotherkissdancingrachel quinerromanticlovefirst datecringyawkward,4907611,84855,5723
