"","video_id","title","publishedAt","channelId","channelTitle","categoryId","trending_date","tags","view_count","likes","comment_count"
"0","93KmHm4ggPo","الكورة مع السلامة  الحلقة الأولى  البرازيل","2022-11-26T18:07:45Z","UCqW7G8SmyeEeQYzLOk5tdSg","da7ee7  الدحيح","28","22.29.11","الدحيححلقة الدحيحبرنامج الدحيح الجديدبرنامج الدحيحdaheeheldahihelda7ee7eldaheehدحيحالدحيح da7ee7احمد غندور الدحيحdaheeh الدحيحكأس العالمقطرfifa world cup 2022البرازيلفيديوهات كأس العالمفيديوهات كأس العلم 2022","761983","77323","2541"
"1","mPL0B46eA10","georges wassouf  byetkallem aalaya official music video 2022  جورج وسوف  بيتكلم عليا","2022-11-26T15:00:10Z","UCRpVH-l7I3j1bZHcrW1c-dg","georges wassouf","10","22.29.11","george wassoufجورج وسوفابو وديعabo wadi3sultan al tarabسلطان الطربwassoufوسوفarabicarabic songsاغاني عربيةsuperwassoufgeorges wassoufgeorgegeorges wasoofوصوفgeorges wassouf  byetkallem aalaya coming soon  جورج وسوف  بيتكلم عليا قريباbyetkallem aalayaبيتكلم علياجورج وسوف بيتكلم علياgeorges wassouf byetkallem aalayageorges wassouf 2022georges wassouf musicاغاني جورج وسوفbyitkallam 3alayabyitkalem 3alayabyitkallam aalaya","968178","43768","3085"
"2","82JKHwdJuSg","ملخص مباراة المغرب وبلجيكا 20  المنتخب المغربي يصنع التاريخ ويهزم بلجيكا بثنائية","2022-11-27T15:32:13Z","UCJUCcJUeh0Cz2xyKwkw5Q1w","bein sports","17","22.29.11","المغرببلجيكاأهداف المغربهدف المغربملخص مباراة المغربكأس العالمresumé moroccomorocco goals","4646086","118144","13347"
"3","adhVRNdSoNg","ملخص مباراة إسبانيا وألمانيا  ألمانيا تتعادل مع إسبانيا وتخلط حسابات التأهل","2022-11-27T21:21:31Z","UCJUCcJUeh0Cz2xyKwkw5Q1w","bein sports","17","22.29.11","إسبانياألمانياالماكينات الألمانيةالمتادورالماتادورgermanyspainalmanialallemagne","1709023","28917","1383"
"4","MrvszvJK_6g","ملخص مباراة كرواتيا وكندا  كرواتيا تقلب الطاولة على كندا وتطيح بها خارج كأس العالم fifa قطر 2022","2022-11-27T18:30:07Z","UCJUCcJUeh0Cz2xyKwkw5Q1w","bein sports","17","22.29.11","none","1711435","28331","823"
"5","A1L2-aNxF_E","أجواء كأس العالم  كشفت كواليس حفل الافتتاح","2022-11-26T19:23:28Z","UCeriWoRVWMHXBbo-FNG-0GQ","الغافري qqq","24","22.29.11","تحدي المعلوماتمحمد عدنانqqqالغافريمعلوماتالسعوديةكوميدياضحكتحدياتاقوىكرة القدممعلومةكرة قدمبرنامجلعبةلعبفنالعابعائلةفلوقمحمد عدنان وعبدالله الغافريكيو كيو كيوالحلقةحلقةميسيرونالدوكأس العالمحفل الافتتاحكواليس حفل الافتتاحاسرار حفل الافتتاحاجواء كاس العالمعبدالله الغافري كاس العالممحمد عدنان كاس العالمكاس العالم قطر ٢٠٢٢مورقان فريمانحفل افتتاح كاس العالمحفل ختام كاس العالممنتخب قطر كاس العالمhighlightsمباراةهدفمبابينيمار","1148940","118982","3183"
"6","dSDwBrxRI5g","محمد الغيطي دمر تاريخ نجيب الريحاني في مسلسل الضاحك الباكي","2022-11-25T14:19:44Z","UCOSZRhQf-9UcPjQjN3FV_4w","mohamed taher محمد طاهر","2","22.29.11","none","250245","16453","874"
"7","NjJhvY7JO88","ميسي غير  والحكم قتل المنتخب السعودي  وهذه مشكلة المنتخب التونسي","2022-11-27T19:03:06Z","UCxUPU7lI249SW_j5WgByJRA","محمد عدنان mohamad adnan","17","22.29.11","محمد عدنانmohamed adnanmohamad adnanكاس العالمالمغرب بلجيكاتونسworld cupاسترالياكاس العالم قطرالمساكنيمعلولعليargentinabrazilspainبلجيكاالدنماركالمنتخب السعوديالسعوديةميسيرونالدومبابيفرنساهدفملخصتحليلمباراةنيماراهدافقطرمنتخبقطر السنغالالبرتغال غاناكريستيانو رونالدوsaudi arabiahighlightsالسعودية بولندابيدريviniciusfranceاشرفحكيميحكيمزياشكرواتياكريستيانوكورياسواريزكافانيالارجنتينلوكاكواليابانالدوسريبولنداسالمايريكسين","1649029","288176","6130"
"8","qyAiaSApdWQ","برعاية السيد رئيس الجمهورية تحتفل جمعية رسالة بيوم التحدي في الجمعة 2 ديسمبر","2022-11-23T15:55:20Z","UCxVI2zPoiJIja40NmG4PCDw","resala charity organization","29","22.29.11","مبادرة يوم التحديذوي الاحتياجات الخاصةيوم التحديأغنية يوم التحديجمعية رسالةرسالةوزارة التضامن الاجتماعيأول جمعة من ديسمبرresala charityresalaوزيرة التضامن الاجتماعيذوي الهممالسيسيمصرالحدائق العامةمبادرة جمعية رسالةإعلان جمعية رسالةإعلان رسالةنانسي عجرمبيج راميراغب علامةتامر حسنيغادة عبد الرازقالتحالف الوطني للعمل الاهلي التنمويالعمل الأهلي في مصرجمعية خيريةالجمعيات الخيرية في مصرجمعية رسالة للأعمال الخيريةاتبرع","2197497","421","45"
"9","LSZRAym-d-s","سجنت اخواتي في غرفة كلها بالون تخانقوا","2022-11-26T16:07:54Z","UCJpTKAPjRh-ThyHXN6r7kxg","sherin amara","23","22.29.11","جواهر_شيرينsherine beautyشيرينشيرين بيوتىمشترياتتحديات شيرين و نارينميك ابفلوجتحديات شيرين و بسامsherinemake upمقالبشيرين بيوتيsherins beautyناريننارين و شيرينشيرين و ناريننارين و شيرين وسيدراتحدياتتحديمشترياتيqaاساله و اجوبهمشترياتي للمدرسةتحديات شيرين ونارينجوله في غرفتيجواهر شيرينتحدي لو خيروكتحدي الاكلرده فعلي عليhaulsفيديوهات تمثيليهvlogs","741325","48511","1466"
