,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,comment_count
0,_qoqgSGVzvE,انا مرتبطة ,2022-11-29T16:00:15Z,UC9DPLKh6uggz4ptPj5VBg_w,Toty Tube,Entertainment,22.01.12,انا مرتبطة |انا مرتبطة|انا مرتبطة تقي ماهر|انا مرتبطة توتي تيوب|حقيقة ارتباط تقي ماهر|حقيقة ارتباط توتي تيوب|توتي تيوب|totytube|toty tube|تقي ماهر|لومي لوما|lomy loma|ارتباط تقي ماهر|ارتباط توتي تيوب|تيم العظمة|السعودية|فلوج|فلوجات,189783,16279,789
1,qnBpnEmUNfQ,الكورة مع السلامة  الحلقة الثانية  كولومبيا ,2022-11-29T18:01:24Z,UCqW7G8SmyeEeQYzLOk5tdSg,Da7ee7  الدحيح,Science & Technology,22.01.12,الدحيح|حلقة الدحيح|برنامج الدحيح الجديد|daheeh|eldahih|elda7ee7|eldaheeh|دحيح|الدحيح |da7ee7|احمد غندور الدحيح|daheeh الدحيح|كأس العالم|قطر|fifa world cup 2022|البرازيل|فيديوهات كأس العالم|فيديوهات كأس العلم 2022|كوليبيا في كأس العالم|كأس العالم في قطر|رينيه هيجيتا|هيجيتا|برنامج الدحيح|الدحيح الكورة مع السلامة|كولومبيا,424849,41850,1394
2,Q6Znrj_MDbw,شوفت أختي أخيرآ بالفستان الابيضالفيرست لوك معايا,2022-11-29T18:00:52Z,UC-xfN8lG_XqI9Lo1kF7GBSQ,Aya Koky77,Science & Technology,22.01.12,none,185275,8896,672
3,l06ErWwyuFo,MUSliM  Law Bs Nergaa  Lyrics Video  2022  مسلم  لو بس نرجع,2022-11-29T15:16:34Z,UCnbJEBPENQtBfUHcix1R6UQ,Muslim  مسلم ,Music,22.01.12,Muslim|وكأني من حقي احضنك|وكأني من حقي احضنك بالكلمات|وكأني من حقي احضنك حالة واتس|هنيالك|مسلم|مسلم هنيالك|هنيالك مسلم|انا البكا حالي وانتي الغنا حالك|هنيالك كلمات|وكأن من حقي احضنك|مسلم هنيالك حالات واتس|يومين وعدوا|مبينا كتير|متاهات|بتوحشني بشكل مخيف|خليكي في حضني الليله|صباحك|صباحك ضحكة بتسكر|سامحني مش بايدي امشي|يا ملاك|مسلم  ألبير u0026 مش قادر|البير|مش قادر|Law Bas Nergaa|لو بس نرجع|MUSliM|بقيت اخاف اعمل حاجات اندم عليهآ ف وقت تآني|مش مرتآحين,209579,13687,930
4,-rfCz0u7e4c,ملخص مباراة البرتغال والأوروغواي  البرتغال تهزم أوروغواي وتبلغ ثمن النهائي,2022-11-28T21:28:44Z,UCJUCcJUeh0Cz2xyKwkw5Q1w,beIN SPORTS,Sports,22.01.12,البرتغال|الأوروغواي|كأس العالم|أهداف البرتغال|رونالدو|برونو|ملخص مباراة البرتغال|portugal|goals|bein|بي ان سبورت,2643038,49971,1327
5,883Z-RvsAGo,عزومة نص الليلصحيتهم وفاجئتهم بالمحمر والمشمرصنعنا الفرحة ,2022-11-28T17:28:24Z,UCUrPw917GvHIlxFQfhouqnw,يوميات ام زياد,Entertainment,22.01.12,none,363923,34728,493
6,RVLj0-lvhHM,تحدي الثلاثين نسخة كأس العالمكلاسيكو عبدالله النعيمي ومحمد سهيل ,2022-11-30T10:00:04Z,UCqe2V_eejw-b5SeOw63TQNw,M12 ALFOUZAN  قدم الكرة,Sports,22.01.12,كأس_العالم|قطر|كريستيانو|السعودية|تحدي_الثلاثين|النعيمي|مساعد_الفوزان|تحدي|قدم_الكرة|ميسي|الأرجنتين|world_cup|qatar|saudi|messi|ronaldo,364479,52159,858
7,1pzV8o6oEJ4,عزمنا أصحابنا على منسف أردني شوفو شو صار اقوى مقلب ,2022-11-29T18:23:45Z,UC-B-lno1COMej2JDwDd3kfA,Mix  douha  مكس و ضحى,People & Blogs,22.01.12,douha|dhouha|laribi|douha laribi|dhouha laribi|laribi douha|laribi dhouha|la3ribi|ضحى|العريبي|عريبي|ضحى العريبي|ضحى عريبي|العريبي ضحى|عريبي ضحى|tik|tok|tiktok|tiktoker|reels|reel|fun|douha la3ribi|dhouha la3ribi|منسف|مقلب|عبسي,827372,108235,2576
8,tOao2cBvkEA,ملخص مباراة السنغال والإكوادور  السنغال تتخطى الإكوادور وتعبر إلى ثمن النهائي,2022-11-29T17:21:00Z,UCJUCcJUeh0Cz2xyKwkw5Q1w,beIN SPORTS,Sports,22.01.12,السنغال|الإكوادور|ثمن نهائي|كأس العالم|كأس العالم FIFA قطر 2022,1472750,29459,1726
9,LtKau77ZwvI,اخيرا فرشت اوضه النوم الجديده بتاعت حماتي بقي عندها اوضه تفتخر بيها بكت من الفرحة ,2022-11-29T20:50:06Z,UCHLJsqHk_EEULrcbVp9UV7A,شروق علام,People & Blogs,22.01.12,none,827875,47964,5361
10,VStzyJ44Lt4,ليه قطر هتفكك الملاعب بعد انتهاء كاس العالم,2022-11-28T18:00:12Z,UCe1m3ZH68Q8314yqulWHTcw,عشوائيات,Education,22.01.12,عمرو عابدين|حقائق|غرائب|فضاء|طبيعة|برية|تكنولوجي|علوم,575356,22808,715
11,xXkm2L-S-LQ,ملخص مباراة ويلز وإنكلترا  المنتخب الإنكليزي يتأهل إلى ثمن النهائي متصدرا للمجموعة الثانية,2022-11-29T21:23:19Z,UCJUCcJUeh0Cz2xyKwkw5Q1w,beIN SPORTS,Sports,22.01.12,none,1489419,28087,901
12,zugAhfd2r0g,ITZY Cheshire MV ITZY,2022-11-30T08:58:09Z,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,Music,22.01.12,JYP Entertainment|JYP|ITZY|있지|イッチ|예지|리아|류진|채령|유나|YEJI|LIA|RYUJIN|CHAERYEONG|YUNA|イェジ|リア|リュジン|チェリョン|ユナ|อทจ|เยจ|ลอา|รยจน|แชรยอง|ยนา|ITZY VIDEOS|ITZY LOCO|ITZY BEHIND|MV|ITZY MV|ITZY MUSIC VIEDOS|Teaser|ITZY Teaser|ITZY VLOG|VLOG|ITz Different|ITz ICY|ITz ME|Not Shy|GUESS WHO|CRAZY IN LOVE|DALLA DALLA|ICY|WANNABE|마피아IN THE MORNING|LOCO|SNEAKERS|있지있지|있있|CHESHIRE|체셔,3917749,595207,34801
13,I6f2rdYyJuM,مشاعر مؤثرة لحظة استقبال العائلة لنا بعد العودة من السفر  صاروا يبكوا ,2022-11-29T17:08:55Z,UCPoGWDam0BC4nGe5aomgd2Q,عصومي ووليد  Assomi  Waleed,Entertainment,22.01.12,عصومي|وليد|عصومي ووليد|مقداد|المقاديد|طيور الجنة|وليد ونور|نور غسان|خالد مقداد|عمو خالد|عائلة مقداد|جنى مقداد|مروة حماد|مروةحماد|نور وليد|المعتصم بالله مقداد|الوليد مقداد|عصومي مقداد|رمضان|خالدمقداد|مروه حماد|حجاب جنى|جنى تتحجب|طيورالجنة|طيور الجنه,906681,52408,1892
14,fUM5BzEmPs0,اغرب هدايا وصلتني في عيد ميلادي ,2022-11-29T14:30:06Z,UCAtqXkFpdm_wqYQdIPoARog,elbasha _ برهوم باشا,People & Blogs,22.01.12,برهوم|برهوم معراوي|برهوم بيوتي|القناة الثانية برهوم,285810,39275,1445
15,Vs_ikSXr8MI,تحدي لا تجيبها في الكوب الغلط   ,2022-11-28T15:18:10Z,UCFGZTrhn2GbEsgQ8-12-rIA,Ghaith Marwan غيث مروان,Education,22.01.12,تحدي|فلوق|vlog|غيث مروان|غيث|تحديات غيث|مقالب غيث|ghaith|ghaith marwan|gaith|مقالب|كريم ديب|عمرو قضاه|زياد و سارة|ايدي|اسلام|انس و اصالة|انصالة|اسامة مروة|تيم مروان|تحدي لا تجيبها في الكوب الغلط   |الكوب الغلط|اقوى تحدي في اليوتيوب,1143927,104029,7309
16,d4jstfzDacQ,رونالدو غاضب جدا  وهذا هو وحش الكرة البرازيلية ,2022-11-29T17:45:40Z,UCxUPU7lI249SW_j5WgByJRA,محمد عدنان Mohamad Adnan,Sports,22.01.12,محمد عدنان|mohamed adnan|mohamad adnan|كاس العالم|تونس|world cup|استراليا|كاس العالم قطر|المساكني|معلول|argentina|brazil|spain|بلجيكا|المنتخب السعودي|السعودية|ميسي|رونالدو|مبابي|فرنسا|هدف|ملخص|تحليل|مباراة|نيمار|اهداف|منتخب|البرتغال غانا|كريستيانو رونالدو|Saudi Arabia|Highlights|السعودية بولندا|بيدري|Vinicius|France|اشرفحكيمي|حكيمزياش|كرواتيا|كريستيانو|كوريا|سواريز|كافاني|الارجنتين|لوكاكو|اليابان|الدوسري|بولندا|سالم|ايريكسين|السعودية المكسيك|سالم الدوسري|العويس,1513124,253565,5537
