,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,comment_count
0,R1DKOiGrE-o,Rashford and Foden fire England to victory against Wales  World Cup 2022,2022-11-29T20:54:16Z,UCW6-BQWFA70Dyyc7ZpZ9Xlg,BBC Sport,Sports,22.30.11,BBC|BBC Sport|Highlights|2022|world cup 2022|football|soccer|doha|qatar|qatar 2022|world cup|fifa world cup 2022|fifa|fifa world cup|england|wales|england 30 wales|england 30 wales highlights|marcus rashford|marcus rashford goals|marcus rashford freekick|phil foden|phil foden goals,584338,8524,1820
1,ohJrpHUoZ10,The Super Mario Bros Movie Direct  11292022 Second Trailer,2022-11-29T22:09:58Z,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo of America,Film & Animation,22.30.11,adventure|fun|nintendo|Super Mario Bros Movie Direct|super mario bros movie|mario movie|super mario bros movie release date|mario movie release date,2413831,136524,10515
2,jaEhvWXmLyk,What went wrong with the Tube Map,2022-11-29T17:10:16Z,UCbbQalJ4OaC0oQ0AqRaOJ9g,Jay Foreman,Comedy,22.30.11,none,608227,40799,2540
3,MST-0jsOTN0,space,2022-11-30T04:47:25Z,UC8Q7XEy86Q7T-3kNpNjYgwA,Incognito Mode,Comedy,22.30.11,space|astronomy|internet historian|in the field|storymode,384027,44965,2409
4,-tpND_8cak4,I found the best TITKOKS,2022-11-29T23:30:11Z,UCZ3AmknSJtbzXCeO5a4peoQ,LazarLazar,Gaming,22.30.11,none,795738,54716,2289
5,rEJVOxzjyQ0,Season 2 Trailer  Overwatch 2,2022-11-29T18:13:44Z,UClOf1XXinvZsy4wKPAkro2A,PlayOverwatch,Gaming,22.30.11,Overwatch 2|Overwatch,1736802,68204,9701
6,55XJ1ObZKaM,Billie Eilish Same Interview The Sixth Year  Vanity Fair,2022-11-28T20:00:03Z,UCIsbLox_y9dCIMLd8tdC6qg,Vanity Fair,Entertainment,22.30.11,billie|billie 6|billie eilish|billie eilish 2022|billie eilish 6|billie eilish interview|billie eilish same interview|billie eilish sixth year|billie eilish trailer|billie eilish vanity fair|billie eilish vanity fair interview|billie eilish year 6|billie interview|billie same interview|billie trailer|billie vanity fair|eilish|same interview|time capsule|vanity fair|vanity fair billie|vanity fair billie eilish|year 6|year six,4308368,305899,12206
7,fEXXnIBHJCE,W2S OPENS THE 250000 BIGGEST PACK EVER  FIFA 23,2022-11-28T21:07:10Z,UC5_IT4-XpinnvNQwM1e15eQ,W2S,Entertainment,22.30.11,W2S|sidemen,734924,46764,2079
8,IJks7TIDfnk,2022 MAMA IVEKep1erNMIXXLESSERAFIMNewJeansELEVENWADADAOOFEARLESSHypeBoy  Mnet 221129 방송,2022-11-29T12:01:31Z,UCbD8EppRX3ZwJSou-TVo90A,Mnet KPOP,Gaming,22.30.11,2022 MAMA|2022 MAMA AWARDS|2022 마마|2022 마마 어워즈|ELEVEN|FEARLESS|HypeBoy|IVE|Kep1er|LE SSERAFIM|MAMA AWARDS|Mnet|NMIXX|NewJeans|OO|WADADA|뉴진스|르세라핌|마마 어워즈|아이브|엔믹스|엠넷|케플러|티빙에서스트리밍,4224851,262495,9876
9,jIBldkWO9a4,Danny MacAskills Postcard from San Francisco,2022-11-29T15:00:10Z,UCXqlds5f7B2OOs9vQuevl4A,Red Bull Bike,Sports,22.30.11,red bull|red bull bike|bike|redbull|danny macaskill|imaginate|way back home|danny macaskill imaginate|wee day out|mountain bike|mtb|danny macaskill red bull|biking|macaskill|danny macaskill san fran|san francisco|bike san francisco|trials riding|city mountain biking|san francisco mtb edit|california biking|alcatraz biking|bike tricks alcatraz|danny macaskill alcatraz|fabio wibmer|red bull san francisco|bike riding san francisco|san fran|alcatraz,318016,17637,1104
