,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,comment_count
0,2tVk01MP3Hg,Wales vs England  Game Highlights,2022-11-29T22:40:01Z,UCdmIbbRekb8q05LV9ZejzsA,Vidio,Sports,22.01.12,England|Wales|Wales vs England|FIFA World Cup|Piala Dunia|World Cup 2022|World Cup Qatar 2022|Piala Dunia 2022|Piala Dunia Qatar 2022,638870,5801,650
1,KKZL4iZ6zXk,Ada Ussy Andhika Gak Berani Mesra Sama Hesti  LAPOR PAK 291122 Part 2,2022-11-29T21:35:00Z,UC24_Z2L-8Ki183AI9zJJzNQ,TRANS7 OFFICIAL,Entertainment,22.01.12,TRANS7|TRANSMEDIA|TRANS7 LIVESTREAMING|ACARA TRANS7|TRANS7 LIVE|TRANS7 HARI INI|LAPOR PAK|LAPOR PAK TRANS7|LAPOR PAK|ANDRE TAULANY|GILANG GOMBLOH|AYU TING TING|WENDY CAGUR|ANDHIKA PRATAMA|KIKY SAPUTRI|LAPOR PAK HARI INI|LAPOR PAK TERBARU|SITKOM|SITKOM INDONESIA|LAPOR PAK TRANS7|SURYA INSOMNIA|USSY SULISTYAWATI LAPOR PAK|DENNY CAGUR LAPOR PAK|PREDIKSI LAPOR PAK|STEVIE ITEM LAPOR PAK,1674086,22336,1480
2,4IHUGAkhVhY,BeraniBeraninya Denny Cagur Gombalin Ussy di Depan Andhika  LAPOR PAK 291122 Part 4,2022-11-29T21:45:00Z,UC24_Z2L-8Ki183AI9zJJzNQ,TRANS7 OFFICIAL,Entertainment,22.01.12,TRANS7|TRANSMEDIA|TRANS7 LIVESTREAMING|ACARA TRANS7|TRANS7 LIVE|TRANS7 HARI INI|LAPOR PAK|LAPOR PAK TRANS7|LAPOR PAK|ANDRE TAULANY|GILANG GOMBLOH|AYU TING TING|WENDY CAGUR|ANDHIKA PRATAMA|KIKY SAPUTRI|LAPOR PAK HARI INI|LAPOR PAK TERBARU|SITKOM|SITKOM INDONESIA|LAPOR PAK TRANS7|SURYA INSOMNIA|USSY SULISTYAWATI LAPOR PAK|DENNY CAGUR LAPOR PAK|PREDIKSI LAPOR PAK|STEVIE ITEM LAPOR PAK,1141966,16253,1010
3,IJks7TIDfnk,2022 MAMA IVEKep1erNMIXXLESSERAFIMNewJeansELEVENWADADAOOFEARLESSHypeBoy  Mnet 221129 방송,2022-11-29T12:01:31Z,UCbD8EppRX3ZwJSou-TVo90A,Mnet KPOP,Gaming,22.01.12,2022 MAMA|2022 MAMA AWARDS|2022 마마|2022 마마 어워즈|ELEVEN|FEARLESS|HypeBoy|IVE|Kep1er|LE SSERAFIM|MAMA AWARDS|Mnet|NMIXX|NewJeans|OO|WADADA|뉴진스|르세라핌|마마 어워즈|아이브|엔믹스|엠넷|케플러|티빙에서스트리밍,5116601,280635,10573
4,_Ijn2Jdy9jc,Portugal VS Uruguay  Highlights FIFA World Cup Qatar 2022,2022-11-28T22:42:15Z,UC_vsErcsq56hOscPHkG-aVw,SCTV,Sports,22.01.12,sctv|indonesia|movies|sinetron sctv|fifa world cup|World Cup|piala dunia 2022|world cup qatar|piala dunia qatar|fifa world cup qatar 2022|portugal|uruguay|portugal vs uruguay full match|portugal vs uruguay highlights 2022,2403910,18570,1685
5,xcZYzNBwt30,PREDIKSI MANGGUNG DI SOUNDRENALINE PENGALAMAN YANG SERU BANGET,2022-11-28T13:00:56Z,UC6SPCnTAIanF2_8ST2wrQzw,TAULANY TV,People & Blogs,22.01.12,none,1684605,64699,4545
6,d2heDnR3sjc,2022 MAMA IVEKep1erNMIXXLE SSERAFIMNewJeans  CHEER UP  Mnet 221129 방송,2022-11-29T12:03:31Z,UCbD8EppRX3ZwJSou-TVo90A,Mnet KPOP,Gaming,22.01.12,2022 MAMA|2022 MAMA AWARDS|2022 마마|2022 마마 어워즈|CHEER UP|IVE|Kep1er|LE SSERAFIM|MAMA AWARDS|Mnet|NMIXX|NewJeans|뉴진스|르세라핌|마마 어워즈|아이브|엔믹스|엠넷|케플러|티빙에서스트리밍,2902644,192685,7395
7,ZVKuqRmrUm0,kenapa jarang upload,2022-11-29T12:01:03Z,UCFrugziJpGuQdrOtgGigYeQ,Agung Hapsah,Entertainment,22.01.12,Agung Hapsah|Unbox|Asus|Batik|M Bloc|TikTok|Samurai|Laptop|QA|Questions and answers|Berat badan|Weight loss|Profile Picture|AI|profilepictureai|AI Profile Picture|Social media,317372,36707,2427
8,Q3qAtcLGH98,Ecuador vs Senegal  Game Highlights,2022-11-29T18:30:16Z,UCdmIbbRekb8q05LV9ZejzsA,Vidio,Sports,22.01.12,Ecuador|Ecuador vs Senegal|Senegal|World Cup 2022|World Cup Qatar 2022|FIFA World Cup|Piala Dunia|Piala Dunia 2022|Piala Dunia Qatar 2022|Mane,242276,1923,339
9,rhoQ6BF0e4U,HESTI DAN KIKY REBUTAN LAGI  LAPOR PAK 291122 Part 3,2022-11-29T21:40:00Z,UC24_Z2L-8Ki183AI9zJJzNQ,TRANS7 OFFICIAL,Entertainment,22.01.12,TRANS7|TRANSMEDIA|TRANS7 LIVESTREAMING|ACARA TRANS7|TRANS7 LIVE|TRANS7 HARI INI|LAPOR PAK|LAPOR PAK TRANS7|LAPOR PAK|ANDRE TAULANY|GILANG GOMBLOH|AYU TING TING|WENDY CAGUR|ANDHIKA PRATAMA|KIKY SAPUTRI|LAPOR PAK HARI INI|LAPOR PAK TERBARU|SITKOM|SITKOM INDONESIA|LAPOR PAK TRANS7|SURYA INSOMNIA|USSY SULISTYAWATI LAPOR PAK|DENNY CAGUR LAPOR PAK|PREDIKSI LAPOR PAK|STEVIE ITEM LAPOR PAK,707248,11697,616
