,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,comment_count
0,MHWcs1-mfaI,Wales 0  3 England  World Cup 2022 Highlights  Group B  SebolaSuara,2022-11-29T21:49:27Z,UC3nsS1zgb4Jye9kmA45K6Yg,Stadium Astro,Sports,22.01.12,Stadium Astro|Sports|Astro,1086720,12555,616
1,swAj-k8ng1k,Portugal 2  0 Uruguay  World Cup 2022 Highlights  Group H  SebolaSuara,2022-11-28T21:40:49Z,UC3nsS1zgb4Jye9kmA45K6Yg,Stadium Astro,Sports,22.01.12,Stadium Astro|Sports|Astro,1329147,15573,907
2,IJks7TIDfnk,2022 MAMA IVEKep1erNMIXXLESSERAFIMNewJeansELEVENWADADAOOFEARLESSHypeBoy  Mnet 221129 방송,2022-11-29T12:01:31Z,UCbD8EppRX3ZwJSou-TVo90A,Mnet KPOP,Gaming,22.01.12,2022 MAMA|2022 MAMA AWARDS|2022 마마|2022 마마 어워즈|ELEVEN|FEARLESS|HypeBoy|IVE|Kep1er|LE SSERAFIM|MAMA AWARDS|Mnet|NMIXX|NewJeans|OO|WADADA|뉴진스|르세라핌|마마 어워즈|아이브|엔믹스|엠넷|케플러|티빙에서스트리밍,5116601,280638,10569
3,tvpVjt97uuU,Johor Darul Tazim 14 Borussia Dortmund  Jelajah Asia Dortmund  ASTRO ARENA  SebolaSuara,2022-11-28T13:39:18Z,UCU9GQSAhb4JxdSZKNJ_Ib6w,Astro Arena,Sports,22.01.12,astro|arena|sukan|malaysia|bolasepak|badminton|takraw|harimau|malaya|nicol|david|squash|astroarena|astro arena|sport|bola sepak|harimau malaya|sepak takraw|stl 2019|nadi arena|ultras malaya|bola mamak|spike|arena bola|sepak takraw league|dari gelanggang|jdt|selangor fas|malu apa bossku|sukan sea|sea games|olympics|olimpik|bundesliga|mfl|liga super|stadium|gostan|pmam|berbulu dengan burn|bdb|bbb|borakborak botak|burn|botak|arena2|801|802,235765,2742,1510
4,IwzkfMmNMpM,정국 Jung Kook of BTS featuring Fahad Al Kubaisi  Dreamers  FIFA World Cup 2022 Soundtrack,2022-11-22T12:09:19Z,UCpcTrCXblq78GZrTUTLWeBw,FIFA,Sports,22.01.12,kpop|jung cook|dreamers|dreamers kpop|dreamer bts|jung cook world cup|jung cook fifa song|jung cook world cup song|world cup song,42430544,3390028,172265
5,zugAhfd2r0g,ITZY Cheshire MV ITZY,2022-11-30T08:58:09Z,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,Music,22.01.12,JYP Entertainment|JYP|ITZY|있지|イッチ|예지|리아|류진|채령|유나|YEJI|LIA|RYUJIN|CHAERYEONG|YUNA|イェジ|リア|リュジン|チェリョン|ユナ|อทจ|เยจ|ลอา|รยจน|แชรยอง|ยนา|ITZY VIDEOS|ITZY LOCO|ITZY BEHIND|MV|ITZY MV|ITZY MUSIC VIEDOS|Teaser|ITZY Teaser|ITZY VLOG|VLOG|ITz Different|ITz ICY|ITz ME|Not Shy|GUESS WHO|CRAZY IN LOVE|DALLA DALLA|ICY|WANNABE|마피아IN THE MORNING|LOCO|SNEAKERS|있지있지|있있|CHESHIRE|체셔,3917749,595191,34801
6,i0BdNCyqy7s,Orang Yang Paling Berbahaya Di Malaysia The most dangerous man in Malaysia,2022-11-29T02:26:10Z,UCubdVbYFXGAsPSw64dQatuw,Mariam Mokhtar AdmrlGen,29,22.01.12,Hadi Awang|PRU15|Agung|DAP|Sedition,218694,9786,1831
7,E2mk7UXwoeo,Orang panggil saya isteri banduan  Dato Seri Dr Wan Azizah,2022-11-30T01:00:04Z,UCAdP8dPHjRFkcRcAnylcmcQ,Nona,Entertainment,22.01.12,majalahnona|nonasuperwoman|nonasuperwomanaward|wan azizah,256216,4045,792
8,U6tHA3zUSjI,ISSEI funny video  with Inosuke shorts,2022-11-22T10:45:00Z,UC6QZ_ss3i_8qLV_RczPZBkw,ISSEI  いっせい,Comedy,22.01.12,challenge|funny video|issei0806|short|shorts|viral|再現|面白動画|meme|ISSEI|comedy|issei 0806|issei official channel|funny videos|tredning funny video|viral videos|trend,32805112,1028320,2371
9,1YmU64DYisU,The Dumbbell Only 1 Person Could Lift,2022-11-22T18:00:00Z,UCuJBpMyxlmemsQiivWPcGrQ,Browney Shorts,People & Blogs,22.01.12,none,18715035,1214337,2753
