,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
166791,5fI3cK7iDeg,Zé Felipe Ana Castela e Luan Pereira LP   Roça Em Mim Videoclipe Oficial,2022-11-18T15:00:10Z,UCe1HjlqnaxERsqpw0ZnLXvA,Zé Felipe,Music,2022-11-20T00:00:00Z,Zé Felipe|Sertanejo|Sertanejo Universitário|Na Mesma Estrada|Novo DVD|Você e Eu|Proibido É Mais Gostoso|Você Não Vale Nada|Tiro Certo|Medalha de Prata|Toma toma vapo vapo|música nova|virginia|Relógio de São Pedro|Bandido|Malvada|Toma Toma Vapo Vapo|Revoada No Colchão|Senta Danada|Virginia|50 Cópias|Som Livre|Ana Castela|Luan pereira|Roça Em Mim,4304635,154186,0,6961,https://i.ytimg.com/vi/5fI3cK7iDeg/default.jpg,False,False
166792,Wx0VHe5HvcE,ATHOS ME JOGOU NO LIXO NOVA SÉRIE,2022-11-19T13:30:09Z,UCx6SJ-EWSTZM0Vgxk5HTjWg,Naru,Gaming,2022-11-20T00:00:00Z,naru|naruuuuu|NaruPlayBR|naruplay|n4ru|Minecraft|naru Minecraft|Naru minecraft|Naru minecraft 118|minecraft 118|ATHOS virou VALENTÃO na ESCOLA NOVA SÉRIE|athos|virou|valentão|na|escola|nova|série|athos valentão|athos malvado|me|jogou|no|lixo,222919,14068,0,282,https://i.ytimg.com/vi/Wx0VHe5HvcE/default.jpg,False,False
166793,rb0bjyt1OD0,Tukoh Taka  Official FIFA Fan Festival Anthem  Nicki Minaj Maluma  Myriam Fares FIFA Sound,2022-11-18T15:00:11Z,UCpcTrCXblq78GZrTUTLWeBw,FIFA,Sports,2022-11-20T00:00:00Z,Nicki Minaj|Nicki|Minaj|Maluma|Myriam Fares|Myriam|Fares|Music|FIFA World Cup|Music Video|World Cup Song|World Cup Music|World Cup Music Video|musica|world cup|world cup theme tune|world cup theme song|world cup song|qatar world cup theme song|Football|FIFA|official|Soccer|Futbol|Futebol|Fußball|Fussball|Calcio|Voetbal|كرة فوتبول|गल|वरलड कप|सकलस|फटबल|Gol|Piala Dunia|Mendribel Bola|Keterampilan|ไดประต|ชงแชมปโลก|ฟตบอล|ทกษะ|officialsoundtrack|soundtrack,8867101,247469,0,42349,https://i.ytimg.com/vi/rb0bjyt1OD0/default.jpg,False,False
166794,TbZHLfIpnk0,TRANSFORMEI OS MOBS EM BOSSES NO MINECRAFT,2022-11-18T21:38:57Z,UCz5rOLDOocCMGb7HBYSqaow,Panda Espacial,People & Blogs,2022-11-20T00:00:00Z,minecraft|eu criei o Minecraft|Minecraft mas|Minecraft real|Minecraft realístico,381428,24751,0,633,https://i.ytimg.com/vi/TbZHLfIpnk0/default.jpg,False,False
166795,XIo9fnn3sso,Nattan  Cuidado  Nattan Clipe Oficial,2022-11-18T13:59:30Z,UC3EPFEI1TdOtPdDPS1nRt2w,Nattan,Music,2022-11-20T00:00:00Z,Nattan|Nattanzinho|Repertório Nattan|Pelado Nattan|CD Nathanzinho|Repertório Nathanzinho 2022|Nathan 2022|Nattan 2022|cabaré nattan|tem cabaré essa noite|tem cabaré essa noite nattan|tem cabaré essa noite nattanzinho|tem que aparece à noite|cuidado|dvd nattan|cuidado nattan|nattan cuidado|dvd nathanzinho|cuidado pra nao ta fazendo|ir pra balada e voltar abalada|o fantastico nattan|o fantastico mundo de nattan|tem cabare essa noite musica|natanzinho|pelado,1720316,22930,0,1350,https://i.ytimg.com/vi/XIo9fnn3sso/default.jpg,False,False
166796,ACWOetfbExk,ABRINDO OS PRESENTES DO CHÁ REVELAÇÃO E DE ANIVERSÁRIO,2022-11-18T22:55:20Z,UCFXxOuIv9vHSRwP9kGEoO5g,Tata Estaniecki,Entertainment,2022-11-20T00:00:00Z,Tata Estaniecki|Tata|Canal|Comédia|Moda|Namoro|Maquiagem|Roupas|Look|Snapchat|Instagram|Tataestaniecki|Nosso Canal|gravidez|gravida|mae|filha|tag|cocielo|namorada|namorado|dicas,210853,22375,0,290,https://i.ytimg.com/vi/ACWOetfbExk/default.jpg,False,False
166797,h-jfktLmFYw,Campeões da Rua Catar,2022-11-18T22:28:07Z,UC9XhPEJLG3jUttDrsvlo1PQ,PepsiBr,Entertainment,2022-11-20T00:00:00Z,None,2170468,251,0,0,https://i.ytimg.com/vi/h-jfktLmFYw/default.jpg,False,False
166798,OD0XmIgvUvQ,PASSAMOS MAIS DE 4 HORAS DESENTERRANDO A MINHA MOTO DE TRILHA ,2022-11-18T15:15:00Z,UC8gWf3nGUdGhp_fNUBOrCtA,Dani Nobrega,People & Blogs,2022-11-20T00:00:00Z,None,303955,25130,0,671,https://i.ytimg.com/vi/OD0XmIgvUvQ/default.jpg,False,False
166799,rJBP-KQas8U,FALHA DE COBERTURA 198 A Festa da Sobriedade,2022-11-19T03:30:11Z,UC033rpv7OKk-QYfrvwl5s8Q,TV Quase,Comedy,2022-11-20T00:00:00Z,choque|de|cultura|tv|quase|falha|cobertura|último|programa|do|mundo|irmão|jorel|décimo|andar|overdose|daniel|furlan|caito|mainier|raul|chequer|leandro|ramos|juliano|enrico|fernando|fraiha|renan|rogerinho|ingá|maurílio|dos|anjos|julinho|da|van|vice|consul|cerginho|craque,121259,21105,0,770,https://i.ytimg.com/vi/rJBP-KQas8U/default.jpg,False,False
166800,IM80tnat4hQ,O Valentão da Escola me Trancou no Armário,2022-11-19T13:30:07Z,UC6P6SvP2arhEdJ9Pg8qwP2A,Athos,Gaming,2022-11-20T00:00:00Z,minecraft|athos|athos gamer|minecraft pe|bedrock|java|pocket edition|maniqueft|valentão da escol|escola|athos escola|athos foi para escola,681410,25147,0,585,https://i.ytimg.com/vi/IM80tnat4hQ/default.jpg,False,False
