,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
166743,r1mhvegC6is,Thanksgiving Stereotypes,2022-11-19T14:59:45Z,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,Sports,2022-11-20T00:00:00Z,dude perfect|dude perfect stereotypes|dude perfect water bottle flip|bottle flip|water bottle flip|dude perfect bottle flip|dude perfect basketball|dp|dude perfect world record|edition|nerf|trick shots|trick shot|family|ping pong|bowling|clean|family friendly|bubble wrap|soccer|football|spinner|spinners|fidget spinners|dude|thanksgiving|stereotypes|turkey|rage monster|holidays|christmas|turkey coma|food|feast|thanksgiving food|mac and cheese|ham|stuffing,3030679,129407,0,5000,https://i.ytimg.com/vi/r1mhvegC6is/default.jpg,False,False
166744,e1nUolN4G2w,GUESS THE GIRLFRIEND,2022-11-19T16:00:20Z,UC70Dib4MvFfT1tU6MqeyHpQ,Preston,Entertainment,2022-11-20T00:00:00Z,funny|challenge|family|comedy|preston|brianna|2022|Comedy|entertainment|family friendly|Funny|funny video|game|games|gaming|hilarious|humor|laugh|new|no swearing|prank|pranks|Recordings|video|adventure|adventure story|channel|clip|comedic|competition|craziest|crazy|destroying|Entertainment|family competition|fun|funny moments|funny videos|funny videos clean|life|memes|messing around|mini game|moments|no cursing|real|tik tok|tiktok|tools|upload|variety|Video|youtube|yt,1137146,31506,0,5077,https://i.ytimg.com/vi/e1nUolN4G2w/default.jpg,False,False
166745,rb0bjyt1OD0,Tukoh Taka  Official FIFA Fan Festival Anthem  Nicki Minaj Maluma  Myriam Fares FIFA Sound,2022-11-18T15:00:11Z,UCpcTrCXblq78GZrTUTLWeBw,FIFA,Sports,2022-11-20T00:00:00Z,Nicki Minaj|Nicki|Minaj|Maluma|Myriam Fares|Myriam|Fares|Music|FIFA World Cup|Music Video|World Cup Song|World Cup Music|World Cup Music Video|musica|world cup|world cup theme tune|world cup theme song|world cup song|qatar world cup theme song|Football|FIFA|official|Soccer|Futbol|Futebol|Fußball|Fussball|Calcio|Voetbal|كرة فوتبول|गल|वरलड कप|सकलस|फटबल|Gol|Piala Dunia|Mendribel Bola|Keterampilan|ไดประต|ชงแชมปโลก|ฟตบอล|ทกษะ|officialsoundtrack|soundtrack,8867101,247455,0,42293,https://i.ytimg.com/vi/rb0bjyt1OD0/default.jpg,False,False
166746,OM4Ck9KMCr4,Jai créé un nouveau Monde vous êtes les bienvenus,2022-11-19T14:00:21Z,UCL9aTJb0ur4sovxcppAopEw,Inoxtag,Entertainment,2022-11-20T00:00:00Z,INOXTAG|INOX|CROUTON|vdi inox|inox|vdi|Minecraft inox|serveur Minecraft inox|Minecraft fr|live inoxtag|spartan race inox|pgw inox|londres inox,1139857,109416,0,1864,https://i.ytimg.com/vi/OM4Ck9KMCr4/default.jpg,False,False
166747,UhbixyxgsiU,Lil Uzi Vert  Just Wanna Rock Official Music Video,2022-11-18T14:00:07Z,UCqwxMqUcL-XC3D9-fTP93Mg,LIL UZI VERT,Music,2022-11-20T00:00:00Z,Lil|Uzi|Vert|Lil Uzi Vert|Eternal Atake|Money Longer|LUV|Futsal Shuffle|That Way|Sanguine Paradise|XO Tour Life|XO Tour Llif3|Luv Is Rage|Luv is Rage 2|The Perfect LUV Tape|Worldstar|Akadmiks|Philly|Rap|Hip Hop|Atlantic Records|Generation Now|Roc Nation|nwE_BsjBSUw|New Patek|Je2OItlb4pYedit|PLUTO X BABY PLUTO|PLUTO|Lil Uzi Vert Future|Lil Uzi Vert Future Pluto x Baby Pluto|Future|Future Pluto|Baby Pluto|Just Wanna Rock|Uzi Just Wanna Rock,4650415,375023,0,20558,https://i.ytimg.com/vi/UhbixyxgsiU/default.jpg,False,False
166748,EhJYtmZuhV4,True Facts Tarantulas,2022-11-19T17:12:27Z,UCVpankR4HtoAVtYnFDUieYA,zefrank1,Pets & Animals,2022-11-20T00:00:00Z,None,639378,53795,0,2739,https://i.ytimg.com/vi/EhJYtmZuhV4/default.jpg,False,False
166749,q7YHTour0I4,11192022 Buffalo NY  Pembroke NY area Whiteout  Vehicles Stuck,2022-11-19T08:38:12Z,UC1nJElGcVcTpeZJVyxEbzJw,Live Storms Media,News & Politics,2022-11-20T00:00:00Z,Brett Adair|Buffalo|HDVideo|I190|I90|LSM|LSMwx|LiveStormsMedia|NYwx|New York|Pembroke|StormChasing|TVNews|TVwx|cars stuck|lake effect|lake effect snow|mountains of snow,480313,4174,0,1029,https://i.ytimg.com/vi/q7YHTour0I4/default.jpg,False,False
166750,esQyYGezS7c,The US Government Sells Human Poop,2022-11-19T14:00:24Z,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Education,2022-11-20T00:00:00Z,veritasium|science|physics,1070580,47138,0,2890,https://i.ytimg.com/vi/esQyYGezS7c/default.jpg,False,False
166751,xh_4jogs4zM,HAZUR Official Video Arjan Dhillon  Mxrci  Latest Punjabi Song Brown Studios,2022-11-18T13:30:11Z,UCm6YAQPxBgZ2qJoBlmUlVTg,Brown Studios,Music,2022-11-20T00:00:00Z,new punjabi songs 2022|new punjabi music|new punjabi song|new punjabi song 2022|new punjabi song 2021|new punjabi song latest this week|latest punjabi songs 2022|new songs|latest songs|punjabi song 2022|latest punjabi songs|new latest punjabi songs 2022|all new punjabi songs latest|Hit punjabi songs 2022|new punjabi songs 2021 latest this week|top 10 punjabi songs|hazur|arjan|dhillon|arjan dhillon|mxrci,2507454,51803,0,1699,https://i.ytimg.com/vi/xh_4jogs4zM/default.jpg,False,False
166752,NYfLDacS5dk,LakeEffect Snowstorm At The Top Of Historical Events Storm Tracker,2022-11-19T00:18:35Z,UC1FbPiXx59_ltnFVx7IxWow,FOX Weather,News & Politics,2022-11-20T00:00:00Z,brigit mahoney fox weather|fox weather|fox weather alert|fox weather live|historic snowstorm|historic snowstorm new york|ian oliver fox weather|lakeeffect snowstorm|lakeeffect snowstorm new york|new york|new york winter weather|snowstorm|storm tracker|storm tracker brandon clement|weather|weather news|winter storm|winter weather,1107440,6447,0,2181,https://i.ytimg.com/vi/NYfLDacS5dk/default.jpg,False,False
