,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
163754,JNkF1zYSlCc,유퀴즈온더블럭 조선시대 광대 역할로 첫 이름을 알린 유해진 자기님이 17년 후 같은 장소에서 왕을 연기하기까지  지금꼭볼동영상,2022-11-17T13:35:00Z,UCWYzc_p0GgfCepIWDHGFmEg,디글 Diggle,Entertainment,2022-11-20T00:00:00Z,diggle|tvN|디글|유재석|유재석 레전드|유재석 웃긴영상|유재석 웃음참기|유재석 웃참|유재석 조세호|유재석 조셉|유퀴즈|유퀴즈 다시보기|유퀴즈 레전드|유퀴즈 레전드 모음|유퀴즈 모음|유퀴즈 일반인|유퀴즈 하이라이트|유퀴즈온더블럭|유퀴즈온더블럭 다시보기|유퀴즈온더블럭 레전드|유퀴즈온더블럭 모음|유퀴즈온더블럭 유해진|유해진|조세호|조세호 레전드|조세호 웃긴영상|조세호 웃참|조세호 조셉|큰자기 아기자기,1527616,17721,0,1208,https://i.ytimg.com/vi/JNkF1zYSlCc/default.jpg,False,False
163755,bNDRxdQ1rp8,그릇,2022-11-19T10:00:23Z,UChgOgRNxrtCcVARDQT_c-Zg,짧은대본 ShortPaper,Entertainment,2022-11-20T00:00:00Z,드라마|web drama|남사친|여사친|로멘스|연애|사랑|love|후참잘|억까|그릇|후라이드|양념치킨|김규남|띱|세상이날억까할때|안되는날|뭘해도안돼,525195,9574,0,1090,https://i.ytimg.com/vi/bNDRxdQ1rp8/default.jpg,False,False
163756,awlftpUcMK0,vlog 최선을 다해 알차게 놀고 먹은 한국에서 마지막 일주일 브이로그 부인 친구들 사이 어색한 쁘보 퍼스널컬러 시아버님 별명짓고 조개구이 먹기 성수동데이트,2022-11-19T11:36:34Z,UC6KwCU8Y8Uw4h_Q0ptLZkqw,해쭈 HAEJOO,People & Blogs,2022-11-20T00:00:00Z,해쭈|가좍|쁘큐보이|카야|새삼이|브이로그|호주,415151,12807,0,826,https://i.ytimg.com/vi/awlftpUcMK0/default.jpg,False,False
163757,jMPnvkzK6i8,쓸데없는 거 너무 많이 샀어,2022-11-18T09:00:24Z,UC1B6SalAoiJD7eHfMUA9QrA,숏박스,Comedy,2022-11-20T00:00:00Z,숏박스|스케치코미디|개그,2469668,37873,0,1696,https://i.ytimg.com/vi/jMPnvkzK6i8/default.jpg,False,False
163758,-atcp4NXFqg,EN 주먹도끼로 패싸움 했습니다  원시인  구석기 축제  레전드  워크맨2,2022-11-18T09:00:01Z,UCwx6n_4OcLgzAGdty0RWCoA,워크맨Workman,Entertainment,2022-11-20T00:00:00Z,워쿠맨|워커맨|walkman|장성규|정성규|정상규|장상규|연천,863377,15251,0,661,https://i.ytimg.com/vi/-atcp4NXFqg/default.jpg,False,False
163759,yFK7TueMhMw,인간을 납치하는 꿀벌들의 잔혹한 정체 RNF399,2022-11-18T09:12:53Z,UCBUNoFJ4u6sw9Oh8e1DixNQ,유령시티,Gaming,2022-11-20T00:00:00Z,공포|미스테리|유령시티|SCP|RNF|RNF399|애니|movie,337987,13847,0,1494,https://i.ytimg.com/vi/yFK7TueMhMw/default.jpg,False,False
163760,Xxr5yU1lrd8,최종화 마지막을 화려하게 장식해 주겠다는 일산  좀비트립2파이터를 찾아서,2022-11-17T12:00:08Z,UCc7o0OkR2BDFN4TCgPChjEw,정찬성 Korean Zombie,Sports,2022-11-20T00:00:00Z,정찬성|코리안좀비|코리안 좀비|koreanzombie|korean zombie|chan sung jung|chansung|chan sung|KZ|MMA|UFC|종합격투기|종합 격투기|코좀|격투기|AOMG|좀비트립|zombie trip|파이터를 찾아서|성명준|박문호|저승문호|하승진|안일권|신림 고릴라|수유리 사기꾼|오대장|싸움|싸움꾼|좀트|박재범|유도|씨름|태권도|무에타이|복싱|파이터|스파링|참교육|깡패|조폭|인천|최두호|정다운|김동현|강경호|장윤성|천재 2호|파괴왕,1370300,14863,0,6780,https://i.ytimg.com/vi/Xxr5yU1lrd8/default.jpg,False,False
163761,QfIY1r0_tRI,비비 BIBI  나쁜년 BIBI Vengeance Official MV,2022-11-18T05:00:11Z,UC8GmeiLd5xjh2j5VmdePWQw,BIBI,Entertainment,2022-11-20T00:00:00Z,None,2479500,106368,0,4235,https://i.ytimg.com/vi/QfIY1r0_tRI/default.jpg,False,False
163762,TMfvkhkALbU,4K 임영웅 Lim Young Woong  LONDON BOY MV,2022-11-15T15:00:14Z,UC3WZlO2Zl8NE1yIUgtwUtQw,임영웅,Music,2022-11-20T00:00:00Z,미스터트롯|트로트|임영웅|트로트영웅|포천의아들|아침마당|판듀|전국노래자랑|영웅|홍대트로트|뭣이중헌디|계단말고 엘리베이터|kbs|가요무대|도전꿈의무대|박서진|진달래|천재원|명지|성국|미스트롯|장윤정|박현빈|박상철|박구윤|현장스케치|예능|트롯|TV조선|사랑의콜센타|뽕숭아학당|hero|imhero|이제나만믿어요|이나믿|별빛같은나의사랑아|별나사,2080037,81649,0,9806,https://i.ytimg.com/vi/TMfvkhkALbU/default.jpg,False,False
163763,CTF1TwWGE6A,은혜가 임신했습니다,2022-11-19T10:00:05Z,UCoPTIaKWLi3vtImEQrx32Ew,헌터퐝,People & Blogs,2022-11-20T00:00:00Z,헌터퐝 은혜|임신|은혜 임신|헌터퐝 은혜 임신|헌터퐝 임신,577350,24989,0,5358,https://i.ytimg.com/vi/CTF1TwWGE6A/default.jpg,False,False
