,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
160864,U5iqHWJdZY8,SODA LUV  MAYBACH,2022-11-16T12:37:52Z,UCF7Y3XebjQWznQFP0Ub6RAg,SODA LUV,Music,2022-11-19T00:00:00Z,SODA LUV|Hip Hop,490765,49956,0,2832,https://i.ytimg.com/vi/U5iqHWJdZY8/default.jpg,False,False
160865,9SAvf7Rbuzw,В ДЕРЕВНЕ ЗАКОНЧИЛАСЬ ВСЯ ВЫПИВКА,2022-11-17T14:59:18Z,UCyjJpmRA7SbCPYDMNEOs1vg,Красавица и Чудовище ОФИЦИАЛЬНЫЙ КАНАЛ,Comedy,2022-11-19T00:00:00Z,хайп|отдых|жара|Скетчи|юмор|смешные видео|приколы|прикол|русские приколы|смех|сериал|лучшие приколы|ржака|жесть|смешные вайны|пенза|блог|блогер|новости|зема|зема 2|зёма|красавица|тяпа|Красавица и чудовище|ломбард|КиЧ|Зема 3|смешной сериал|кино|приколы 2022|русские комедии|инстаграм|русское кино|российский сериал|друзья|пензфильммаш|90|лихие 90|сундук|ютуб|мы|ты|2022|Салют Начальник|Премьера 2022|В ДЕРЕВНЕ ЗАКОНЧИЛАСЬ ВСЯ ВЫПИВКА,173426,8821,0,180,https://i.ytimg.com/vi/9SAvf7Rbuzw/default.jpg,False,False
160866,fB6By9AkxAg,ЭТИ УРОВНИ ПУГАЮТ МЕНЯ,2022-11-17T15:35:31Z,UC9vlFByvKbStdlnSMAdsYgg,Фокснео,Gaming,2022-11-19T00:00:00Z,Фокснео|Мобильные игры|Игры на телефон,83322,6097,0,1126,https://i.ytimg.com/vi/fB6By9AkxAg/default.jpg,False,False
160867,Zv5Kj6kyRgY,Miyagi  Andy Panda  Патрон Official Video,2022-11-16T11:22:32Z,UCApdP81v1rMFGiFUq-A7vBQ,Hajime,Music,2022-11-19T00:00:00Z,miyagi|miyagi  andy panda|miyagi  andy panda  патрон|патрон|мияги патрон|мияги 2022|патрон miyagi|патрон мияги|тут патрон в патроннике|тут патрон в патроннике ежели что|энди панда и мияги|hajime|hajime патрон|патрон песня|miyagi andy panda|патрон of|andy panda|miyagi  andy panda  патрон official video реакция,1148352,104807,0,5208,https://i.ytimg.com/vi/Zv5Kj6kyRgY/default.jpg,False,False
160868,XCdckxiw7Jc,Я Затроллил друга СЛОМАННОЙ ЛОГИКОЙ пока он Думал в Майнкрафт,2022-11-17T11:59:34Z,UCCiGUQiWcz3lKev49TX8-Ew,FixEye,Gaming,2022-11-19T00:00:00Z,Майнкрафт|майнкрафт но|майнкрафт но на 0 логике|0 логики|майнкрафт но он без логики|нелогичный майнкрафт|майнкрафт без 100 логики|майнкрафт с 0 логики|фиксай|fixeye|сломанный майнкрафт,644987,53329,0,1293,https://i.ytimg.com/vi/XCdckxiw7Jc/default.jpg,False,False
160869,CeEO0bAxiUY,ІНОЗЕМЦЕВ лікарі рекомендували Сі УНИКАТИ Путіна США та Китай домовилися про перемиря,2022-11-17T14:00:06Z,UCH9H_b9oJtSHBovh94yB5HA,Телеканал Прямий,News & Politics,2022-11-19T00:00:00Z,прямий онлайн|прямий канал|прямий канал онлайн|прямий|прямий ютьюб|прямий youtube|прямий канал украина|прямий канал ютуб|2022|зсу|збройні сили|оос|збройні сили україни|наступ на україну|росія|вторгненя росії|наступ росії|армія україни|армія|росія напала на україну|путин|україна|путін|россия|кремль|новости|новини|щойно|украина 24|контрнаступ зсу|контрнаступ|украина|news|новости украины|новини україни|россия украина|росія україна|залмаев|иноземцев,791613,23421,0,1503,https://i.ytimg.com/vi/CeEO0bAxiUY/default.jpg,False,False
160870,sOAOVcK63E4,Байдена напугали бицепсы российского оператора Илона Маска превратили в козла а Шольц мутит воду,2022-11-17T07:12:49Z,UCYderr98dG7E2IwxF2oUXJA,Абзац и Ыыху с ним,News & Politics,2022-11-19T00:00:00Z,ыыху|поэт ыыху|ыыху ибенпалу|новости|михаил шахназаров|ирина лосик|елена оя|александр карлов|гордон|дмитрий гордон|крым|крымский мост|монгайт|анна монгайт|байден|джо байден|сунак|риши сунак|европа|сша|шольц|олаф шольц|невзоров|александр невзоров|польша|пво|гудков|геннадий гудков|маск|илон маск|ракета|трактор|покровский|максим покровский|макрон|оператор|бицепсы|невский|александр невский|алекчандр курицин|культурист|ходорковский|михаил ходорковский,165899,15880,0,569,https://i.ytimg.com/vi/sOAOVcK63E4/default.jpg,False,False
160871,17TKWgJwz6M,Как хипстер из Москвы сделал бизнес по доставке в НьюЙорке и потерял его изза войны,2022-11-17T07:00:00Z,UCo3S9OQDrM79i7yPmixnSsQ,Русские норм,News & Politics,2022-11-19T00:00:00Z,Русские норм|Осетинская|Антон Гладкобородов|стартап|предприниматель|бизнес|дизайн|медиа|социальные сети|инвестиции|идеи|доставка|продукты|Look at me|Теории и практики|Coub|Fridge no more|Keji|США|Россия|война|IT|релокация|эмиграция,75954,1242,0,181,https://i.ytimg.com/vi/17TKWgJwz6M/default.jpg,False,False
160872,iLdOObIahqM,ЮНУС країни НАТО злякалися США і Китай домовились будуть нові великі гравці,2022-11-17T15:00:29Z,UCH9H_b9oJtSHBovh94yB5HA,Телеканал Прямий,News & Politics,2022-11-19T00:00:00Z,прямий онлайн|прямий канал|прямий канал онлайн|прямий|прямий ютьюб|прямий youtube|прямий канал украина|прямий канал ютуб|2022|зсу|збройні сили|оос|збройні сили україни|наступ на україну|росія|вторгненя росії|наступ росії|армія україни|армія|росія напала на україну|путин|україна|путін|россия|кремль|новости|новини|щойно|украина 24|контрнаступ зсу|контрнаступ|украина|news|новости украины|новини україни|россия украина|росія україна|крбанова|юнус|китай|нато,1006919,40860,0,3349,https://i.ytimg.com/vi/iLdOObIahqM/default.jpg,False,False
160873,9i9FsJPRSTo,Baxt ovchisi 34 qism 2 Mavsum,2022-11-17T15:34:04Z,UC3HJv6JriejmABDHWi9OCjA,Milliy TV,Entertainment,2022-11-19T00:00:00Z,None,1274563,13643,0,1487,https://i.ytimg.com/vi/9i9FsJPRSTo/default.jpg,False,False
