,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
166790,r1mhvegC6is,Thanksgiving Stereotypes,2022-11-19T14:59:45Z,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,Sports,2022-11-20T00:00:00Z,dude perfect|dude perfect stereotypes|dude perfect water bottle flip|bottle flip|water bottle flip|dude perfect bottle flip|dude perfect basketball|dp|dude perfect world record|edition|nerf|trick shots|trick shot|family|ping pong|bowling|clean|family friendly|bubble wrap|soccer|football|spinner|spinners|fidget spinners|dude|thanksgiving|stereotypes|turkey|rage monster|holidays|christmas|turkey coma|food|feast|thanksgiving food|mac and cheese|ham|stuffing,3030679,129407,0,5000,https://i.ytimg.com/vi/r1mhvegC6is/default.jpg,False,False
166791,UhbixyxgsiU,Lil Uzi Vert  Just Wanna Rock Official Music Video,2022-11-18T14:00:07Z,UCqwxMqUcL-XC3D9-fTP93Mg,LIL UZI VERT,Music,2022-11-20T00:00:00Z,Lil|Uzi|Vert|Lil Uzi Vert|Eternal Atake|Money Longer|LUV|Futsal Shuffle|That Way|Sanguine Paradise|XO Tour Life|XO Tour Llif3|Luv Is Rage|Luv is Rage 2|The Perfect LUV Tape|Worldstar|Akadmiks|Philly|Rap|Hip Hop|Atlantic Records|Generation Now|Roc Nation|nwE_BsjBSUw|New Patek|Je2OItlb4pYedit|PLUTO X BABY PLUTO|PLUTO|Lil Uzi Vert Future|Lil Uzi Vert Future Pluto x Baby Pluto|Future|Future Pluto|Baby Pluto|Just Wanna Rock|Uzi Just Wanna Rock,4650415,375023,0,20558,https://i.ytimg.com/vi/UhbixyxgsiU/default.jpg,False,False
166792,e1nUolN4G2w,GUESS THE GIRLFRIEND,2022-11-19T16:00:20Z,UC70Dib4MvFfT1tU6MqeyHpQ,Preston,Entertainment,2022-11-20T00:00:00Z,funny|challenge|family|comedy|preston|brianna|2022|Comedy|entertainment|family friendly|Funny|funny video|game|games|gaming|hilarious|humor|laugh|new|no swearing|prank|pranks|Recordings|video|adventure|adventure story|channel|clip|comedic|competition|craziest|crazy|destroying|Entertainment|family competition|fun|funny moments|funny videos|funny videos clean|life|memes|messing around|mini game|moments|no cursing|real|tik tok|tiktok|tools|upload|variety|Video|youtube|yt,1137146,31504,0,5077,https://i.ytimg.com/vi/e1nUolN4G2w/default.jpg,False,False
166793,EhJYtmZuhV4,True Facts Tarantulas,2022-11-19T17:12:27Z,UCVpankR4HtoAVtYnFDUieYA,zefrank1,Pets & Animals,2022-11-20T00:00:00Z,None,639378,53795,0,2739,https://i.ytimg.com/vi/EhJYtmZuhV4/default.jpg,False,False
166794,rb0bjyt1OD0,Tukoh Taka  Official FIFA Fan Festival Anthem  Nicki Minaj Maluma  Myriam Fares FIFA Sound,2022-11-18T15:00:11Z,UCpcTrCXblq78GZrTUTLWeBw,FIFA,Sports,2022-11-20T00:00:00Z,Nicki Minaj|Nicki|Minaj|Maluma|Myriam Fares|Myriam|Fares|Music|FIFA World Cup|Music Video|World Cup Song|World Cup Music|World Cup Music Video|musica|world cup|world cup theme tune|world cup theme song|world cup song|qatar world cup theme song|Football|FIFA|official|Soccer|Futbol|Futebol|Fußball|Fussball|Calcio|Voetbal|كرة فوتبول|गल|वरलड कप|सकलस|फटबल|Gol|Piala Dunia|Mendribel Bola|Keterampilan|ไดประต|ชงแชมปโลก|ฟตบอล|ทกษะ|officialsoundtrack|soundtrack,8867101,247455,0,42293,https://i.ytimg.com/vi/rb0bjyt1OD0/default.jpg,False,False
166795,esQyYGezS7c,The US Government Sells Human Poop,2022-11-19T14:00:24Z,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Education,2022-11-20T00:00:00Z,veritasium|science|physics,1070580,47136,0,2890,https://i.ytimg.com/vi/esQyYGezS7c/default.jpg,False,False
166796,7z8DO1KhPFo,MURDER DRONES  Episode 2 Heartbeat,2022-11-18T23:00:06Z,UCn_FAXem2-e3HQvmK-mOH4g,GLITCH,Film & Animation,2022-11-20T00:00:00Z,meta runner|glitch productions|funny|video game|webtoon|cartoon|3d animation|animation|2d animation|3d art|animated web series|web series|online animation|newgrounds|nintendo|fortnite|minecraft|smg4|mario|supermarioglitchy4|anime|western shounen|naruto|my hero academia|zelda|glitch,1260308,95800,0,11609,https://i.ytimg.com/vi/7z8DO1KhPFo/default.jpg,False,False
166797,_Z_QjWdJ93A,I became RICH in LEGO,2022-11-18T18:46:48Z,UCUU3GdGuQshZFRGnxAPBf_w,TD BRICKS,Entertainment,2022-11-20T00:00:00Z,lego|lego moc|lego mocs|lego creation|lego house|lego rich person|lego rich|lego meme|lego set|lego sets|lego tutorial|lego builder|lego star wars|lego minifigure|lego minifig|lego minifigures|legos|lego marvel|lego city|lego speed build|lego satisfying,1621021,57697,0,3740,https://i.ytimg.com/vi/_Z_QjWdJ93A/default.jpg,False,False
166798,q7YHTour0I4,11192022 Buffalo NY  Pembroke NY area Whiteout  Vehicles Stuck,2022-11-19T08:38:12Z,UC1nJElGcVcTpeZJVyxEbzJw,Live Storms Media,News & Politics,2022-11-20T00:00:00Z,Brett Adair|Buffalo|HDVideo|I190|I90|LSM|LSMwx|LiveStormsMedia|NYwx|New York|Pembroke|StormChasing|TVNews|TVwx|cars stuck|lake effect|lake effect snow|mountains of snow,480313,4174,0,1029,https://i.ytimg.com/vi/q7YHTour0I4/default.jpg,False,False
166799,J9QwBwUnhQo,Rod Wave  Got It Right Official Video,2022-11-18T05:00:06Z,UCenjunBhBhvKjfDAESnoppw,RodWave,Music,2022-11-20T00:00:00Z,rod wave|hunger games|hunger games 3|ptsd|ghetto gospel|kevin gates|soulfly|soulfly deluxe|tiktok|kodak black|lil durk|nba youngboy|fredo bang|toosii|yung bleu|no cap|heart on ice|moneybagg yo|mo3|time heals|tombstone|florida|st petersburg|tampa|jaydayungan,1380028,65967,0,2982,https://i.ytimg.com/vi/J9QwBwUnhQo/default.jpg,False,False
